source,doi,das_in_paper_support,openalex_type,title_front_matter,trivially_true
washdev,10.2166/washdev.2020.218,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.019,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.118,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.041,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.056,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.179,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.081,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.085,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.115,structured supplement,article,FALSE,FALSE
washdev,NA,structured supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2020.088,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.095,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.125,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.046,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.098,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.093,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.037,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.076,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.060,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.062,unstructured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.232,structured supplement,article,FALSE,FALSE
washdev,NA,structured supplement,NA,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2020.126,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.158,structured supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.145,structured supplement,article,FALSE,FALSE
washdev,NA,no supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2020.202,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.104,no supplement,article,FALSE,FALSE
washdev,NA,structured supplement,NA,FALSE,FALSE
washdev,10.2166/washdev.2020.070,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.084,no supplement,article,FALSE,FALSE
washdev,10.2166/washdev.2020.186,no supplement,article,FALSE,FALSE
