source,doi,das_in_paper_support,openalex_type,title_front_matter,trivially_true,n_files,n_files_parsed,paper_class,any_observation
jwh,10.2166/wh.2026.194,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2026.240,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2026.261,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2020.042,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2020.086,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2020.100,unstructured supplement,article,FALSE,FALSE,1,0,not_attempted,FALSE
jwh,10.2166/wh.2020.271,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2020.018,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2020.093,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2020.115,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.247,unstructured supplement,article,FALSE,FALSE,4,0,not_attempted,FALSE
jwh,10.2166/wh.2021.150,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.051,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.011,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.031,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.171,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2021.091,structured supplement,article,FALSE,FALSE,1,0,not_attempted,FALSE
jwh,10.2166/wh.2021.064,structured supplement,article,FALSE,FALSE,4,4,observation tables,TRUE
jwh,10.2166/wh.2021.127,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.167,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.169,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2021.312,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.190,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.232,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.233,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2022.252,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.285,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.312,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2022.014,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.296,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.276,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.117,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2022.115,structured supplement,review,FALSE,TRUE,1,1,summary tables,FALSE
jwh,10.2166/wh.2022.026,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.048,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.061,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2022.201,structured supplement,article,FALSE,FALSE,3,2,summary tables,FALSE
jwh,10.2166/wh.2022.129,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.237,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2023.291,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.238,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.213,structured supplement,article,FALSE,FALSE,1,1,figures,FALSE
jwh,10.2166/wh.2023.276,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2023.312,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2023.267,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2023.014,unstructured supplement,article,FALSE,FALSE,1,0,not_attempted,FALSE
jwh,10.2166/wh.2023.126,unstructured supplement,article,FALSE,FALSE,1,0,not_attempted,FALSE
jwh,10.2166/wh.2023.004,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2023.027,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.091,unstructured supplement,article,FALSE,FALSE,1,0,not_attempted,FALSE
jwh,10.2166/wh.2023.128,structured supplement,article,FALSE,FALSE,2,1,observation tables,TRUE
jwh,10.2166/wh.2023.190,structured supplement,article,FALSE,FALSE,2,2,observation tables,TRUE
jwh,10.2166/wh.2023.157,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2023.262,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.261,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.121,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.130,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.088,unstructured supplement,article,FALSE,FALSE,1,0,not_attempted,FALSE
jwh,10.2166/wh.2023.204,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2023.129,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.205,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2023.245,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2023.072,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2023.082,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.233,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2024.309,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.345,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.348,unstructured supplement,article,FALSE,FALSE,2,0,not_attempted,FALSE
jwh,10.2166/wh.2024.327,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.018,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.312,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2024.059,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.251,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
jwh,10.2166/wh.2024.303,structured supplement,article,FALSE,FALSE,1,1,summary tables,FALSE
jwh,10.2166/wh.2024.060,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.377,structured supplement,article,FALSE,FALSE,1,1,prose only,FALSE
jwh,10.2166/wh.2024.074,structured supplement,article,FALSE,FALSE,1,1,observation tables,TRUE
