doi,include,reason
10.3390/data2030024,FALSE,
10.3390/data3040050,FALSE,
10.3390/data6080079,FALSE,
10.3390/data8060103,TRUE,
10.3390/data8030048,FALSE,
10.3390/data8090141,TRUE,
10.3390/data8110162,FALSE,
10.3390/data10100155,FALSE,
10.3390/data10040051,FALSE,
10.46471/gigabyte.167,TRUE,
10.1093/gigascience/gix101,FALSE,
10.1093/gigascience/giaa125,FALSE,
10.1093/gigascience/giae051,FALSE,
10.1038/sdata.2017.98,FALSE,
10.1038/sdata.2018.108,TRUE,
10.1038/s41597-019-0316-y,FALSE,
10.1038/s41597-020-00648-2,FALSE,
10.1038/s41597-020-0562-z,FALSE,
10.1038/s41597-020-0496-5,FALSE,
10.1038/s41597-020-0384-z,FALSE,
10.1038/s41597-020-00596-x,FALSE,
10.1038/s41597-021-01002-w,FALSE,
10.1038/s41597-021-00856-4,FALSE,
10.1038/s41597-022-01686-8,TRUE,
10.1038/s41597-022-01749-w,TRUE,
10.1038/s41597-022-01439-7,TRUE,
10.1038/s41597-022-01358-7,FALSE,
10.1038/s41597-022-01788-3,FALSE,
10.1038/s41597-023-02732-9,FALSE,
10.1038/s41597-023-01973-y,FALSE,
10.1038/s41597-023-02297-7,FALSE,
10.1038/s41597-023-02277-x,FALSE,
10.1038/s41597-024-03298-w,FALSE,
10.1038/s41597-024-03453-3,FALSE,
10.1038/s41597-023-02886-6,FALSE,
10.1038/s41597-024-03601-9,FALSE,
10.1038/s41597-025-06059-5,FALSE,
10.1038/s41597-025-05459-x,FALSE,
10.1038/s41597-025-05600-w,FALSE,
10.1038/s41597-025-06468-6,FALSE,
10.1038/s41597-025-05625-1,FALSE,
10.1038/s41597-025-04537-4,TRUE,
10.1038/s41597-025-05100-x,FALSE,
10.1038/s41597-026-06698-2,FALSE,
10.1038/s41597-026-07352-7,FALSE,
