dataset,published_year,n,fair_findable,fair_accessible,fair_interoperable,fair_reusable,fair_total
ploswater,2022,50,1.04,1.72,0.66,1.04,4.46
ploswater,2023,98,0.97,1.52,0.55,0.98,4.02
ploswater,2024,90,1.02,1.51,0.54,1.02,4.1
ploswater,2025,119,0.96,1.52,0.56,0.96,4
ploswater,2026,79,0.89,1.54,0.65,0.89,3.96
uncnewsletter,2020,1,0,0,0,0,0
uncnewsletter,2021,1,0,2,0,0,2
uncnewsletter,2022,96,0.23,1.46,0.35,0.23,2.27
uncnewsletter,2023,74,0.12,1.32,0.43,0.12,2
uncnewsletter,NA,1,0,0,0,0,0
washdev,2011,25,0,0.08,0,0,0.08
washdev,2012,29,0,0,0,0,0
washdev,2013,70,0,0.11,0,0,0.11
washdev,2014,78,0,0.31,0,0,0.31
washdev,2015,71,0,0.25,0,0,0.25
washdev,2016,69,0,0.32,0.16,0,0.48
washdev,2017,64,0,0.66,0.28,0,0.94
washdev,2018,76,0,0.34,0.16,0,0.5
washdev,2019,81,0,0.54,0.22,0,0.77
washdev,2020,99,0.44,1,0.34,0.44,2.23
washdev,2021,98,0.83,1.33,0.38,0.83,3.36
washdev,2022,82,0.66,1.27,0.45,0.66,3.04
washdev,2023,90,0.72,1.42,0.5,0.72,3.37
washdev,2024,113,0.68,1.14,0.35,0.68,2.85
washdev,2025,86,0.73,1.1,0.33,0.73,2.9
washdev,2026,42,0.5,1.07,0.38,0.5,2.45
