paperid,volume,issue,first_author_affiliation,correspondence_author_affiliation
1786,1,1,"Health Related Water Microbiology Specialist Group, International Water Association",NA
1791,1,1,"WHO, Avenue Appia 20, CH 1222, Geneva 27, Switzerland Tel.: +41 (22) 791 3431 Fax: +41 (22) 791 4836 E-mail:","WHO, Avenue Appia 20, CH 1222, Geneva 27, Switzerland Tel.: +41 (22) 791 3431 Fax: +41 (22) 791 4836 E-mail:"
1828,1,2,"Fredy and Nadine Herrmann School of Applied Sciences, The Hebrew University of Jerusalem, and consultant to Division on the Protection of Human Environment, WHO, Geneva","Fredy and Nadine Herrmann School of Applied Sciences, The Hebrew University of Jerusalem, and consultant to Division on the Protection of Human Environment, WHO, Geneva"
1784,3,4,"Administrator, U.S. Environmental Protection Agency",NA
1866,4,1,"Division of Community Health, Faculty of Medicine, Memorial University of Newfoundland, St. John's, Newfoundland, Canada, A1B 3V6","Division of Community Health, Faculty of Medicine, Memorial University of Newfoundland, St. John's, Newfoundland, Canada, A1B 3V6"
1575,4,2,"Department of Biology, University of Waterloo, Waterloo, Ontario, Canada, N2L 3G1","Wetlands Research Centre, University of Waterloo, Waterloo, Ontario, Canada, N2L 3G1"
1577,4,2,"Unité de recherche en santé publique du Centre Hospitalier Universitaire de Québec et Institut national de santé publique du Québec, 945, avenue Wolfe, Sainte-Foy, Québec, Canada, G1V 5B3","Unité de recherche en santé publique du Centre Hospitalier Universitaire de Québec et Institut national de santé publique du Québec, 945, avenue Wolfe, Sainte-Foy, Québec, Canada, G1V 5B3"
31290,4,3,"Associate Professor, Civil and Environmental Engineering, 18 Marston Hall, University of Massachusetts, Amherst, MA 01003, USA Tel.: +1 (413)545-5390 Fax:+1 (413)545-2202","Associate Professor, Civil and Environmental Engineering, 18 Marston Hall, University of Massachusetts, Amherst, MA 01003, USA Tel.: +1 (413)545-5390 Fax:+1 (413)545-2202"
31291,4,3,"Department of Water Care, Tshwane University of Technology – Arcadia Campus, 175 Nelson Mandela Drive – Arcadia,Pretoria 0002, South Africa Tel.: +27 82 513 7395 E-mail:","Department of Water Care, Tshwane University of Technology – Arcadia Campus, 175 Nelson Mandela Drive – Arcadia,Pretoria 0002, South Africa Tel.: +27 82 513 7395 E-mail:"
31293,4,3,"Microbiological Laboratory for Health Protection, National Institute of Public Health and the Environment, P.O. Box 1, 3720 BA Bilthoven, The Netherlands Tel: +31 30 274 2994 Fax: +31 30 274 4434 E-mail:","Microbiological Laboratory for Health Protection, National Institute of Public Health and the Environment, P.O. Box 1, 3720 BA Bilthoven, The Netherlands Tel: +31 30 274 2994 Fax: +31 30 274 4434 E-mail:"
31300,4,3,"USEPA, National Risk Management Research Laboratory, Water Supply/Water Resources Division, Cincinnati, OH, 45268, USA,","USEPA, National Risk Management Research Laboratory, Water Supply/Water Resources Division, Cincinnati, OH, 45268, USA,"
31302,4,3,"Department of Plant & Soil Sciences, University of Kentucky, N-122K Ag. Science North, Lexington, Ky 40546, USA,","Department of Plant & Soil Sciences, University of Kentucky, N-122K Ag. Science North, Lexington, Ky 40546, USA,"
1995,5,1,"School of Civil Engineering, University of Leeds, Leeds, LS2 9JT, UK Tel.: +44 113 343 2276 Fax: +44 113 343 2243 E-mail:","School of Civil Engineering, University of Leeds, Leeds, LS2 9JT, UK Tel.: +44 113 343 2276 Fax: +44 113 343 2243 E-mail:"
1996,5,1,"2103 Dancing Fox RoadDecatur, GA 30032, USA e-mail:","2103 Dancing Fox RoadDecatur, GA 30032, USA e-mail:"
1991,5,1,"USEPA Region 2, Division of Science and Assessment, Edison, NJ 08837, USA Tel.: +1-732-321-6791 Fax: +1-732-321- 6622 E-mail:","USEPA Region 2, Division of Science and Assessment, Edison, NJ 08837, USA Tel.: +1-732-321-6791 Fax: +1-732-321- 6622 E-mail:"
31315,5,2,"Centro de Investigacion en Alimentacion y Desarrollo, A. C. Carretera a ElDorado, km. 5.5 Culiacan, Sinaloa, Mexico 80129","Centro de Investigacion en Alimentacion y Desarrollo, A. C. Carretera a ElDorado, km. 5.5 Culiacan, Sinaloa, Mexico 80129"
31328,5,4,"Parasitology Department, Biology Institute, State University of Campinas, SP Brazil PO Box 6109, CEP:13083-970","Parasitology Department, Biology Institute, State University of Campinas, SP Brazil PO Box 6109, CEP: 13083-970"
31336,6,1,"Department of Civil Engineering, University of Toronto, 35 St. George Street, M5S 1A4, Toronto, Ontario Canada","Department of Civil Engineering, University of Toronto, 35 St. George Street, M5S 1A4, Toronto, Ontario Canada"
31333,6,1,"Centro de Investigacion en Alimentacion y Desarrollo, A. C. Carretera a ElDorado km. 5.5 Culiacan, Sinaloa, Mexico, 80129","Centro de Investigacion en Alimentacion y Desarrollo, A. C. Carretera a ElDorado km. 5.5 Culiacan, Sinaloa, Mexico, 80129"
7845,6,3,"NIMS Department, Indiana University Kokomo, 2300 South Washington Street, Kokomo, IN, 46904-9003 USA","NIMS Department, Indiana University Kokomo, 2300 South Washington Street, Kokomo, IN, 46904-9003 USA"
331,6,4,"Department of Environmental Health Science & Policy, University of California, Irvine, Irvine, 92697, California","Department of Environmental Health Science & Policy, University of California, Irvine, Irvine, 92697, California"
334,6,4,"Senior Planning Engineer, Yarra Valley Water, Private Bag 1, Mitcham, VIC, 3132 Australia","Senior Planning Engineer, Yarra Valley Water, Private Bag 1, Mitcham, VIC, 3132 Australia"
341,6,S1,"Department of Epidemiology and Preventive Medicine and Cooperative Research Centre for Water Quality and Treatment, Monash University, Central and Eastern Clinical School, Alfred Hospital, Commercial Road, Melbourne, Victoria, 3004 Australia","Department of Epidemiology and Preventive Medicine and Cooperative Research Centre for Water Quality and Treatment, Monash University, Central and Eastern Clinical School, Alfred Hospital, Commercial Road, Melbourne, Victoria, 3004 Australia"
1886,8,1,"Department of Civil and Environmental Engineering, University of California at Davis, One Shields Avenue, Davis CA, 95616, USA Tel.: +1-530-754-6427 Fax: +1-530-752-7872 E-mail:","Department of Civil and Environmental Engineering, University of California at Davis, One Shields Avenue, Davis CA, 95616, USA Tel.: +1-530-754-6427 Fax: +1-530-752-7872 E-mail:"
18124,8,3,"Department of Civil Engineering, Faculty of Engineering, National University of Singapore, Singapore 119260, Republic of Singapore","Division of Environmental Science and Engineering, Faculty of Engineering, National University of Singapore, Singapore 119260, Republic of Singapore"
31355,8,4,"Coordenadoria de Saneamento Ambiental, Instituto Federal do Espírito Santo, Ifes, Campus Vitória, Avenida Vitória, 1729, Jucutuquara, Vitória, Espírito Santo, Brazil CEP: 29.040-780","Coordenadoria de Saneamento Ambiental, Instituto Federal do Espírito Santo, Ifes, Campus Vitória, Avenida Vitória, 1729, Jucutuquara, Vitória, Espírito Santo, Brazil CEP: 29.040-780"
19814,9,3,"Department of Pharmacology, Kaohsiung Medical University, Kaohsiung, Taiwan","Faculty of Public Health, College of Health Sciences, Kaohsiung Medical University, Kaohsiung, Taiwan"
2767,10,4,"Environmental and Water Studies, Department of Civil and Environmental Engineering, Stanford, California 94305 USA","Environmental and Water Studies, Department of Civil and Environmental Engineering, Stanford, California 94305 USA"
15839,11,2,"Division of Infectious Diseases, Department of Internal Medicine, Changhua Christian Hospital, 135 Nanxiam Street, Changhua 500, Chinese Taiwan","Department of Research, Changhua Christian Hospital, 135 Nanshiao Street, Changhua, 500, Chinese Taiwan"
1681,11,3,"Environmental Microbiology Laboratory, Department of Biology, University of Puerto Rico, Rico, San Juan, Puerto Rico 00931-3360","Environmental Microbiology Laboratory, Department of Biology, University of Puerto Rico, Rico, San Juan, Puerto Rico 00931-3360"
1697,11,3,"Department of Applied Chemistry, Faculty of Science, University of Johannesburg, P.O. Box 17011, Doornfontein 2028, Johannesburg, Republic of South Africa","Department of Applied Chemistry, Faculty of Science, University of Johannesburg, P.O. Box 17011, Doornfontein 2028, Johannesburg, Republic of South Africa"
7930,12,1,"Department of Geography, National University of Singapore, Kent Ridge, Singapore 117570","Department of Geography, National University of Singapore, Kent Ridge, Singapore 117570"
2879,12,2,"Biology Department, Environmental Microbiology Laboratory, University of Puerto Rico, Rio Piedras Campus, San Juan, Puerto Rico 00931","Biology Department, Environmental Microbiology Laboratory, University of Puerto Rico, Rio Piedras Campus, San Juan, Puerto Rico 00931"
504,12,3,"Laboratory of Environmental Engineering, Academic Center of the Agreste, Federal University of Pernambuco. Rodovia BR-104, Km 62, Nova Caruaru. Caruaru – PE, Brazil. CEP: 55002-970","Laboratory of Environmental Engineering, Academic Center of the Agreste, Federal University of Pernambuco. Rodovia BR-104, Km 62, Nova Caruaru. Caruaru – PE, Brazil. CEP: 55002-970"
511,12,3,"Program on Water Governance, University of British Columbia, 439-2202 Main Mall, Vancouver, BC, V6T 1Z4 Canada","Program on Water Governance, University of British Columbia, 439-2202 Main Mall, Vancouver, BC, V6T 1Z4 Canada"
544,12,4,"Department of Civil and Environmental Engineering, University of Waterloo, 200 University Ave. W., Waterloo, ON, Canada, N2L 3G1","Department of Civil and Environmental Engineering, University of Waterloo, 200 University Ave. W., Waterloo, ON, Canada, N2L 3G1"
557,12,4,"Department of Civil and Environmental Engineering, National University of Singapore, Block E1A, #07-03, No. 1 Engineering Drive 2, Singapore 117576","Department of Civil and Environmental Engineering, National University of Singapore, Block E1A, #07-03, No. 1 Engineering Drive 2, Singapore 117576"
28232,13,1,"Metropolitan Autonomous University- Azcapotzalco, 180 San Pablo Ave, Mexico, D.F. 02200","National Autonomous University of Mexico, Institute of Engineering, A. Postal 70-472, Coyoacán Zip 04510, Mexico, D.F"
28228,14,1,"Environmental and Water Studies, Department of Civil and Environmental Engineering, Stanford University, Stanford, CA, 94305 USA","Environmental and Water Studies, Department of Civil and Environmental Engineering, Stanford University, Stanford, CA, 94305 USA"
28278,14,2,"Public Health Ontario, 300-480 University Ave., Toronto, ON, Canada, M5G 1V2","Public Health Ontario, 300-480 University Ave., Toronto, ON, Canada, M5G 1V2"
28478,14,3,"Department for Health and Ageing, Water Quality Unit, SA Health, PO Box 6, Rundle Mall, Adelaide 5000, South Australia","Department for Health and Ageing, Water Quality Unit, SA Health, PO Box 6, Rundle Mall, Adelaide 5000, South Australia"
28488,14,3,"Ministry of Water and Irrigation, Shmisani, Jaber Bin Hayan Str, PO Box 2412 Amman, 11183 Jordan","Intelliscience Ltd, 38A Station Rd, Carlton, Nottingham NG4 3DB, UK"
28409,14,6,"Department of Population Medicine, University of Guelph, 50 Stone Road East, Guelph, Ontario N1G 2W1 Canada","Department of Population Medicine, University of Guelph, 50 Stone Road East, Guelph, Ontario N1G 2W1 Canada"
28264,15,2,"Inter-University Program on Environmental Toxicology, Technology and Management, Asian Institute of Technology, Chulabhorn Research Institute and Mahidol University, Bangkok, Thailand","Laboratory of Biotechnology, Chulabhorn Research Institute, Bangkok, Thailand 10210 and Center of Excellence on Environmental Health and Toxicology, CHE, Ministry of Education, Bangkok, Thailand 10400"
28732,15,5,"Department of Tropical Parasitology, Institute of Maritime and Tropical Medicine in Gdynia, Medical University of Gdansk, 9b Powstania Styczniowego Str., Gdynia 81-519, Poland","State Key Laboratory of Plateau Ecology and Agriculture, Center for Biomedicine and Infectious Disease, Qinghai Academy of Animal Sciences and Veterinary Medicine, Medical School of Qinghai University Xining, 1#Wei'er Road, Qinghai Biological Scientific Estate Garden, Xining 810016, P. R. China"
37958,15,6,Arkansas Water Resources Center,Arkansas Water Resources Center
37961,15,6,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM)
37963,15,6,School of Chemical Engineering,School of Chemical Engineering
37959,15,6,"Biology Department, University of Puerto Rico – Rio Piedras Campus, PO Box 23360, San Juan, Puerto Rico 00931","Biology Department, University of Puerto Rico – Rio Piedras Campus, PO Box 23360, San Juan, Puerto Rico 00931"
37962,15,6,"Department of Microbiology, Faculty of Biology","Department of Microbiology, Faculty of Biology"
37964,15,6,"Department of Environmental Microbiology and Biotechnology, Faculty of Biology and Environmental Protection","Department of Environmental Microbiology and Biotechnology, Faculty of Biology and Environmental Protection"
37968,15,6,Department of Microbiology,Department of Microbiology
37973,15,6,Department of Biotechnology,Department of Biotechnology
37972,15,6,"Department of Chemistry, Tabriz Branch","Department of Chemistry, Tabriz Branch"
37976,15,6,"Discipline of Microbiology, School of Life Sciences","Discipline of Microbiology, School of Life Sciences"
37975,15,6,Institute for Water and Wastewater Technology,Institute for Water and Wastewater Technology
37969,15,6,"Department of Economics, Faculty of Economics & Business","Department of Economics, Faculty of Economics & Business"
37974,15,6,Department of Chemistry,Department of Chemistry
37982,16,1,School of Population Health,School of Biological Sciences
37979,16,1,"The Water Institute, Department of Environmental Sciences and Engineering, Gillings School of Global Public Health","The Water Institute, Department of Environmental Sciences and Engineering, Gillings School of Global Public Health"
37978,16,1,"H.P. Environmental, Inc.","H.P. Environmental, Inc."
37987,16,1,RTI International,RTI International
37977,16,1,Universitat Politècnica de Catalunya,Universitat Politècnica de Catalunya
37984,16,1,DTU Environment,DTU Environment
37980,16,1,"Department of Clinical Laboratory Science, College of Applied Medical Sciences","Department of Clinical Laboratory Science, College of Applied Medical Sciences"
37981,16,1,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering
37985,16,1,Center for Marine Sciences,Center for Marine Sciences
37983,16,1,Waterborne Disease Prevention Branch,Waterborne Disease Prevention Branch
37988,16,1,Lake Erie College of Osteopathic Medicine,Department of Health and Biomedical Sciences
37990,16,1,Laboratório de Microbiologia Molecular,Laboratório de Microbiologia Molecular
37986,16,1,School of Medicine,Department of Civil and Environmental Engineering
37998,16,1,Ministry of Education Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes,Ministry of Education Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes
37989,16,1,Department of Public Health and Pediatrics,Department of Public Health and Pediatrics
37996,16,1,"Laboratory of Applied Chemistry for Environmental Industry, Faculty of Agriculture","Laboratory of Applied Chemistry for Environmental Industry, Faculty of Agriculture"
37994,16,1,"Department of Hygiene and Epidemiology, Medical School","Department of Hygiene and Epidemiology, Medical School"
37999,16,2,"Faculty of Chemical Engineering and Light Industry, Guangzhou Higher Education Mega Center","Faculty of Chemical Engineering and Light Industry, Guangzhou Higher Education Mega Center"
37997,16,2,School of Health Systems and Public Health,School of Health Systems and Public Health
38000,16,2,"Centre for Foodborne, Environmental and Zoonotic Infectious Diseases","Centre for Foodborne, Environmental and Zoonotic Infectious Diseases"
37995,16,2,"Department of Environmental Engineering, Faculty of Engineering","Department of Environmental Engineering, Faculty of Engineering"
37992,16,2,European Programme for Intervention Epidemiology Training (EPIET),Médecins Sans Frontières
37993,16,2,"Department of Water Management, Faculty of Civil Engineering and Geosciences","Department of Water Management, Faculty of Civil Engineering and Geosciences"
38001,16,2,"Faculty of Science, Department of Biology","Faculty of Science, Department of Biology"
38002,16,2,"Environmental Chemical Pollution and Health Research Unit, School of Health Systems and Public Health","Environmental Chemical Pollution and Health Research Unit, School of Health Systems and Public Health"
38004,16,2,National Center for Emerging and Zoonotic Infectious Diseases,National Center for Emerging and Zoonotic Infectious Diseases
38003,16,2,Center for Development Research (ZEF),Center for Development Research (ZEF)
38007,16,2,Environmental Company of the São Paulo State (CETESB-SP),Environmental Company of the São Paulo State (CETESB-SP)
38011,16,2,"Key Laboratory of Ground Water Resource and Environment, Ministry of Education","Key Laboratory of Ground Water Resource and Environment, Ministry of Education"
38005,16,2,Laboratory of Research in Applied Microbiology,Laboratory of Research in Applied Microbiology
38009,16,2,"Laboratoire d'Hydrobiologie, Ecotoxicologie & Assainissement (LHEA, URAC 33)","Laboratoire Réactions et Génie des Procédés, UMR 7274 CNRS"
39098,16,3,National Institute of Water and Atmospheric Research Ltd (NIWA),National Institute of Water and Atmospheric Research Ltd (NIWA)
39106,16,3,Oak Ridge Institute for Science and Education,Oak Ridge Institute for Science and Education
39092,16,3,"Department of Health Sciences, School of Allied Health Sciences","Department of Health Sciences, School of Allied Health Sciences"
39097,16,3,Environmental Health and Ecological Sciences,Environmental Health and Ecological Sciences
39094,16,3,"Texas A&M AgriLife Extension Service, Department of Soil and Crop Sciences","Texas A&M AgriLife Extension Service, Department of Soil and Crop Sciences"
39108,16,3,School of Life Science and Technology,School of Life Science and Technology
39096,16,3,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering
39095,16,3,"Water Resources Management Laboratory, School of Chemistry","Water Resources Management Laboratory, School of Chemistry"
39091,16,3,Department of Chemical and Biological Engineering,Department of Chemical and Biological Engineering
39089,16,3,Department of Translational Research and New Technologies in Medicine and Surgery,Department of Translational Research and New Technologies in Medicine and Surgery
39090,16,3,"Biotechnology and Environmental Biology, School of Applied Sciences","Biotechnology and Environmental Biology, School of Applied Sciences"
39100,16,3,Department of Civil and Environmental Engineering,Department of Civil and Environmental Engineering
39101,16,3,Department of Biology,Department of Biology
39109,16,3,Maccabi Health Services,Maccabi Health Services
39103,16,3,Department of Physics,Department of Physics
39088,16,3,"Institute of Structural and Molecular Biology, Division of Biosciences","Institute of Structural and Molecular Biology, Division of Biosciences"
64514,17,1,"Department of Epidemic Diseases Research, Institute for Research and Medical Consultation, Imam Abdulrahman Bin Faisal University (IAU), Dammam, Kingdom of Saudi Arabia","Department of Epidemic Diseases Research, Institute for Research and Medical Consultation, Imam Abdulrahman Bin Faisal University (IAU), Dammam, Kingdom of Saudi Arabia"
65143,17,1,"Department of Population Medicine, University of Guelph, 50 Stone Road East, Guelph, Ontario, CanadaN1G 2W1","Department of Population Medicine, University of Guelph, 50 Stone Road East, Guelph, Ontario, CanadaN1G 2W1"
65344,17,2,"School of Forestry, Northeast Forestry University, No. 26 Hexing Road Xiangfang District, Harbin, 150040, China,","School of Forestry, Northeast Forestry University, No. 26 Hexing Road Xiangfang District, Harbin, 150040, China,"
69934,17,6,"Department of Population Medicine, University of Guelph, Gordon Street, Guelph, ON, N1G 2W1 Canada","Wellington-Dufferin-Guelph Public Health, 160 Chancellors Way, Guelph, ON, N1G 0E1 Canada"
78664,19,1,"Sustainable Development Research Institute, Bethlehem, West Bank, Palestine (Occupied)","Sustainable Development Research Institute, Bethlehem, West Bank, Palestine (Occupied)"
86834,20,2,"Department of Environmental Engineering, Imam Abdulrahman Bin Faisal University, Dammam, KSA","Department of Environmental Engineering, Imam Abdulrahman Bin Faisal University, Dammam, KSA"
92134,20,12,"University Institute of Pharmaceutical Sciences, Panjab University, Chandigarh, India 160014","University Institute of Pharmaceutical Sciences, Panjab University, Chandigarh, India 160014"
91868,20,12,SIGMA Foundation,SIGMA Foundation
93575,21,3,"Faculty of Environment and Labour Safety, Ton Duc Thang University, Ho Chi Minh City, Viet Nam","Graduate Institute of Environmental Engineering, National Taiwan University, No. 1, Section 4, Roosevelt Rd., Da'an District, Taipei 10617, Taiwan"
