volume,issue,url,published_year
1,1,https://iwaponline.com/jwh/issue/1/1,2003
1,2,https://iwaponline.com/jwh/issue/1/2,2003
1,3,https://iwaponline.com/jwh/issue/1/3,2003
1,4,https://iwaponline.com/jwh/issue/1/4,2003
2,1,https://iwaponline.com/jwh/issue/2/1,2004
2,2,https://iwaponline.com/jwh/issue/2/2,2004
2,3,https://iwaponline.com/jwh/issue/2/3,2004
2,4,https://iwaponline.com/jwh/issue/2/4,2004
3,1,https://iwaponline.com/jwh/issue/3/1,2005
3,2,https://iwaponline.com/jwh/issue/3/2,2005
3,3,https://iwaponline.com/jwh/issue/3/3,2005
3,4,https://iwaponline.com/jwh/issue/3/4,2005
4,1,https://iwaponline.com/jwh/issue/4/1,2006
4,2,https://iwaponline.com/jwh/issue/4/2,2006
4,3,https://iwaponline.com/jwh/issue/4/3,2006
4,4,https://iwaponline.com/jwh/issue/4/4,2006
4,S1,https://iwaponline.com/jwh/issue/4/S1,2006
4,S2,https://iwaponline.com/jwh/issue/4/S2,2006
5,1,https://iwaponline.com/jwh/issue/5/1,2007
5,2,https://iwaponline.com/jwh/issue/5/2,2007
5,3,https://iwaponline.com/jwh/issue/5/3,2007
5,4,https://iwaponline.com/jwh/issue/5/4,2007
5,S1,https://iwaponline.com/jwh/issue/5/S1,2007
6,1,https://iwaponline.com/jwh/issue/6/1,2008
6,2,https://iwaponline.com/jwh/issue/6/2,2008
6,3,https://iwaponline.com/jwh/issue/6/3,2008
6,4,https://iwaponline.com/jwh/issue/6/4,2008
6,S1,https://iwaponline.com/jwh/issue/6/S1,2008
7,1,https://iwaponline.com/jwh/issue/7/1,2009
7,2,https://iwaponline.com/jwh/issue/7/2,2009
7,3,https://iwaponline.com/jwh/issue/7/3,2009
7,4,https://iwaponline.com/jwh/issue/7/4,2009
7,S1,https://iwaponline.com/jwh/issue/7/S1,2009
8,1,https://iwaponline.com/jwh/issue/8/1,2010
8,2,https://iwaponline.com/jwh/issue/8/2,2010
8,3,https://iwaponline.com/jwh/issue/8/3,2010
8,4,https://iwaponline.com/jwh/issue/8/4,2010
9,1,https://iwaponline.com/jwh/issue/9/1,2011
9,2,https://iwaponline.com/jwh/issue/9/2,2011
9,3,https://iwaponline.com/jwh/issue/9/3,2011
9,4,https://iwaponline.com/jwh/issue/9/4,2011
10,1,https://iwaponline.com/jwh/issue/10/1,2012
10,2,https://iwaponline.com/jwh/issue/10/2,2012
10,3,https://iwaponline.com/jwh/issue/10/3,2012
10,4,https://iwaponline.com/jwh/issue/10/4,2012
11,1,https://iwaponline.com/jwh/issue/11/1,2013
11,2,https://iwaponline.com/jwh/issue/11/2,2013
11,3,https://iwaponline.com/jwh/issue/11/3,2013
11,4,https://iwaponline.com/jwh/issue/11/4,2013
12,1,https://iwaponline.com/jwh/issue/12/1,2014
12,2,https://iwaponline.com/jwh/issue/12/2,2014
12,3,https://iwaponline.com/jwh/issue/12/3,2014
12,4,https://iwaponline.com/jwh/issue/12/4,2014
13,1,https://iwaponline.com/jwh/issue/13/1,2015
13,2,https://iwaponline.com/jwh/issue/13/2,2015
13,3,https://iwaponline.com/jwh/issue/13/3,2015
13,4,https://iwaponline.com/jwh/issue/13/4,2015
14,1,https://iwaponline.com/jwh/issue/14/1,2016
14,2,https://iwaponline.com/jwh/issue/14/2,2016
14,3,https://iwaponline.com/jwh/issue/14/3,2016
14,4,https://iwaponline.com/jwh/issue/14/4,2016
14,5,https://iwaponline.com/jwh/issue/14/5,2016
14,6,https://iwaponline.com/jwh/issue/14/6,2016
15,1,https://iwaponline.com/jwh/issue/15/1,2017
15,2,https://iwaponline.com/jwh/issue/15/2,2017
15,3,https://iwaponline.com/jwh/issue/15/3,2017
15,4,https://iwaponline.com/jwh/issue/15/4,2017
15,5,https://iwaponline.com/jwh/issue/15/5,2017
15,6,https://iwaponline.com/jwh/issue/15/6,2017
16,1,https://iwaponline.com/jwh/issue/16/1,2018
16,2,https://iwaponline.com/jwh/issue/16/2,2018
16,3,https://iwaponline.com/jwh/issue/16/3,2018
16,4,https://iwaponline.com/jwh/issue/16/4,2018
16,5,https://iwaponline.com/jwh/issue/16/5,2018
16,6,https://iwaponline.com/jwh/issue/16/6,2018
17,1,https://iwaponline.com/jwh/issue/17/1,2019
17,2,https://iwaponline.com/jwh/issue/17/2,2019
17,3,https://iwaponline.com/jwh/issue/17/3,2019
17,4,https://iwaponline.com/jwh/issue/17/4,2019
17,5,https://iwaponline.com/jwh/issue/17/5,2019
17,6,https://iwaponline.com/jwh/issue/17/6,2019
18,1,https://iwaponline.com/jwh/issue/18/1,2020
18,2,https://iwaponline.com/jwh/issue/18/2,2020
18,3,https://iwaponline.com/jwh/issue/18/3,2020
18,4,https://iwaponline.com/jwh/issue/18/4,2020
18,5,https://iwaponline.com/jwh/issue/18/5,2020
18,6,https://iwaponline.com/jwh/issue/18/6,2020
19,1,https://iwaponline.com/jwh/issue/19/1,2021
19,2,https://iwaponline.com/jwh/issue/19/2,2021
19,3,https://iwaponline.com/jwh/issue/19/3,2021
19,4,https://iwaponline.com/jwh/issue/19/4,2021
19,5,https://iwaponline.com/jwh/issue/19/5,2021
19,6,https://iwaponline.com/jwh/issue/19/6,2021
20,1,https://iwaponline.com/jwh/issue/20/1,2022
20,2,https://iwaponline.com/jwh/issue/20/2,2022
20,3,https://iwaponline.com/jwh/issue/20/3,2022
20,4,https://iwaponline.com/jwh/issue/20/4,2022
20,5,https://iwaponline.com/jwh/issue/20/5,2022
20,6,https://iwaponline.com/jwh/issue/20/6,2022
20,7,https://iwaponline.com/jwh/issue/20/7,2022
20,8,https://iwaponline.com/jwh/issue/20/8,2022
20,9,https://iwaponline.com/jwh/issue/20/9,2022
20,10,https://iwaponline.com/jwh/issue/20/10,2022
20,11,https://iwaponline.com/jwh/issue/20/11,2022
20,12,https://iwaponline.com/jwh/issue/20/12,2022
21,1,https://iwaponline.com/jwh/issue/21/1,2023
21,2,https://iwaponline.com/jwh/issue/21/2,2023
21,3,https://iwaponline.com/jwh/issue/21/3,2023
21,4,https://iwaponline.com/jwh/issue/21/4,2023
21,5,https://iwaponline.com/jwh/issue/21/5,2023
21,6,https://iwaponline.com/jwh/issue/21/6,2023
21,7,https://iwaponline.com/jwh/issue/21/7,2023
21,8,https://iwaponline.com/jwh/issue/21/8,2023
21,9,https://iwaponline.com/jwh/issue/21/9,2023
21,10,https://iwaponline.com/jwh/issue/21/10,2023
21,11,https://iwaponline.com/jwh/issue/21/11,2023
21,12,https://iwaponline.com/jwh/issue/21/12,2023
22,1,https://iwaponline.com/jwh/issue/22/1,2024
22,2,https://iwaponline.com/jwh/issue/22/2,2024
22,3,https://iwaponline.com/jwh/issue/22/3,2024
22,4,https://iwaponline.com/jwh/issue/22/4,2024
22,5,https://iwaponline.com/jwh/issue/22/5,2024
22,6,https://iwaponline.com/jwh/issue/22/6,2024
22,7,https://iwaponline.com/jwh/issue/22/7,2024
22,8,https://iwaponline.com/jwh/issue/22/8,2024
22,9,https://iwaponline.com/jwh/issue/22/9,2024
22,10,https://iwaponline.com/jwh/issue/22/10,2024
22,11,https://iwaponline.com/jwh/issue/22/11,2024
22,12,https://iwaponline.com/jwh/issue/22/12,2024
23,1,https://iwaponline.com/jwh/issue/23/1,2025
23,2,https://iwaponline.com/jwh/issue/23/2,2025
23,3,https://iwaponline.com/jwh/issue/23/3,2025
23,4,https://iwaponline.com/jwh/issue/23/4,2025
23,5,https://iwaponline.com/jwh/issue/23/5,2025
23,6,https://iwaponline.com/jwh/issue/23/6,2025
23,7,https://iwaponline.com/jwh/issue/23/7,2025
23,8,https://iwaponline.com/jwh/issue/23/8,2025
23,9,https://iwaponline.com/jwh/issue/23/9,2025
23,10,https://iwaponline.com/jwh/issue/23/10,2025
23,11,https://iwaponline.com/jwh/issue/23/11,2025
23,12,https://iwaponline.com/jwh/issue/23/12,2025
24,1,https://iwaponline.com/jwh/issue/24/1,2026
24,2,https://iwaponline.com/jwh/issue/24/2,2026
24,3,https://iwaponline.com/jwh/issue/24/3,2026
24,4,https://iwaponline.com/jwh/issue/24/4,2026
24,5,https://iwaponline.com/jwh/issue/24/5,2026
24,6,https://iwaponline.com/jwh/issue/24/6,2026
