platform,operator,url,launch_year,coverage,content_model,wash_specific,scope,scope_reason,source_url,accessed_date
mWater,"mWater (mWater Foundation / mWater, Inc.)",https://www.mwater.co,2012,"Global; 198 countries and territories",generates (survey collection) with a compilation layer over 4M+ public sites,yes,in,"Primary focus of the paper: a WASH data-generation platform where researchers collect and can share record-level data",https://www.mwater.co/about,2026-07-23
Project W,The Aquaya Institute,https://www.projectwdata.net/,,"190+ geographies; 180+ WASH topics",compiles (human-curated catalogue of datasets from 900+ organisations),yes,in,"Primary focus of the paper: a metadata-enriched WASH data catalogue that points researchers to third-party datasets",https://aquaya.org/project-w/,2026-07-23
WPdx,Global Water Challenge,https://www.waterpointdata.org,,"Global; individual water point records",compiles/harmonises datasets to a common standard,yes,in,"WASH-specific, openly accessible, holds actual water point records with a Socrata API and per-country bulk CSV",https://www.waterpointdata.org/access-data/,2026-07-23
IBNET,World Bank Group,https://www.ib-net.org,,"150+ countries; 5,000+ water and sanitation utilities",compiles utility-reported performance data,yes,in,"WASH-specific and holds the largest utility performance dataset; leans benchmarking indicators rather than research microdata",https://www.ib-net.org/,2026-07-23
JMP,WHO and UNICEF,https://washdata.org,,"Global; national/regional coverage estimates",compiles national datasets into modelled indicator estimates,yes,borderline,"WASH-specific and authoritative but an indicator/estimates portal, not where a researcher's own dataset is deposited",https://washdata.org/data/downloads,2026-07-23
GLAAS,WHO/UNICEF under UN-Water,https://glaas.who.int,,"Global; national WASH systems data","survey-driven, published as aggregate country indicators",yes,out,"WASH-specific but an indicator/statistics portal (governance, finance, HR), not a microdata platform",https://glaas.who.int/,2026-07-23
SDG 6 Data Portal,UN-Water Integrated Monitoring Initiative,https://www.sdg6data.org,,"Global/regional/national; 11 SDG 6 indicators",compiles custodian-agency indicator estimates,yes,out,"Indicator portal, not a dataset/microdata platform",https://www.sdg6data.org/en/about/data-sources,2026-07-23
DHS Program,"ICF, funded by USAID",https://dhsprogram.com,,"Nationally representative household survey microdata",generates survey microdata,no,borderline,"Major source of WASH microdata but a general health/demographic survey programme with gated (registration + approval) access",https://dhsprogram.com/data/Access-Instructions.cfm,2026-07-23
MICS,UNICEF,https://mics.unicef.org,,"100+ countries; household survey datasets",generates survey microdata,no,borderline,"WASH microdata source but a general household survey programme with gated (registration + request) access",https://mics.unicef.org/surveys,2026-07-23
World Bank Microdata Library,World Bank,https://microdata.worldbank.org,,"Developing countries; survey/census microdata from 80+ orgs",compiles/catalogues datasets (NADA),no,out,"General-purpose microdata catalogue, not WASH-specific",https://microdata.worldbank.org/home,2026-07-23
HDX,"UN OCHA, Centre for Humanitarian Data",https://data.humdata.org,,"20,000+ humanitarian datasets from 1,900+ sources",hosts/catalogues files (CKAN),no,out,"General-purpose humanitarian repository, not WASH-specific (though it holds WASH data such as WPdx)",https://data.humdata.org/faq,2026-07-23
Akvo,Akvo Foundation,https://akvo.org,,"Global; field data collection and dashboards","data collection tool (surveys), not a public dataset repository",no,out,"A data-collection tool used heavily in WASH; collected data is private per instance, no open dataset catalogue",https://akvo.org/water-data/wash-mis/,2026-07-23
KoboToolbox,KoboToolbox (originated Harvard Humanitarian Initiative),https://www.kobotoolbox.org,,"Global; 14,000+ organisations","data collection tool (surveys), not a public dataset repository",no,out,"A general data-collection tool; collected data is private per project, no open shared-dataset catalogue",https://www.kobotoolbox.org/about-us/software/,2026-07-23
