paperid,das
10.1371/journal.pwat.0000167,All the papers referenced in the systematic review are publicly available. Nearly all will easily be found using various search tools such as PubMed and SCOPUS. The authors can provide copies of any that a reader cannot find.
10.1371/journal.pwat.0000467,The Data Availability statement is under discussion and will be provided in a forthcoming update to this article.
10.1371/journal.pwat.0000427,"Data contain potentially identifying or sensitive patient information, and has been opposed by the Institutional Review Board (IRB)/ the research ethics committee. Data are available from the institutional data access/General Research Ethics Board (GREB) of Queens University (researchethics@queensu.ca) for researchers who meet the criteria for access to the confidential data."
10.1371/journal.pwat.0000165,All data will be available if the manuscript is selected for publication.
10.1371/journal.pwat.0000107,"Data on stakeholder motivations and abilities and data on water diversions have been withheld from publication to protect participant privacy. These data are unable to be completely deidentified. Data have been used to provide valuable interpretation, while protecting the provacy of stakeholders involved in incentive programs, whom are required for these conservation efforts to be successful. Stakeholder perceptions data were collected under Negligible Low Risk Human Ethics approved by authors' Institutional Review Board (INT20/376227). The data custodian is Dr Marita Pearson. Her email address is marita.pearson@dpi.nsw.gov.au."
10.1371/journal.pwat.0000075,"To ensure confidentiality of participants’ information as agreed up on during Ethical approval and Consent Process, qualitative interview transcripts’ file is only visible to the direct research team or through Mbarara University of Science and Technology Research Ethics Committee, P.O. Box 1410 Mbarara, Tel: +256-48-543-3795, Fax: +256-48-542-0782, E-mail: irc@must.ac.ug, mustirb@gmail.com since they are not publically available."
10.1371/journal.pwat.0000093,I have ethical restrictions from the ethical committees involved since the data was collected from human subjects. The name of the ethical committee is Eawag Ethical Review Committee and the contact person is Rik Eggen (rik.eggen@eawag.ch).
10.1371/journal.pwat.0000030,"Estimates of previously calibrated watershed models upon which results and interpretations reported herein for nitrogen and phosphorus are based are available in Miller et al. [85] for the Upper Colorado River Basin, Ator [86] for the Delaware River Basin, and Saad and Robertson [87] for the Illinois River Basin. Estimates from the previously calibrated salinity model for the Upper Colorado River Basin are available in Miller et al. [94]."
10.1371/journal.pwat.0000047,"This study only collected identifiable human subjects data protected by the Social, Behavioral, and Educational Research Institutional Review Board (SBER IRB) at Tufts University (#1910029). The Research Team needs permission from the Tufts SBER IRB (Meghan Pronovost - Meghan.Pronovost@tufts.edu) to share the data in a de-identified fashion."
10.1371/journal.pwat.0000231,The dataset underlying all quantitative findings from this study will be made available through the PLoS Water website.
10.1371/journal.pwat.0000432,The data is being formatted and finalized for sharing on Hydroshare once the MS is accepted.
10.1371/journal.pwat.0000287,"Data for this manuscript were provided by the Department of Education (DepEd), Government of Philippines. Researchers who wish to access this data are required to request data direct from the Department of Education and receive appropriate approvals. To request access to data, please contact the Assistant Secretary of Operations, Department of Education at oasops@deped.gov.ph."
10.1371/journal.pwat.0000345,"All data is publicly available and accessible by contacting the Mile High Flood District (MHFD) GIS Department. Email: contact@mhfd.org or phone: +1 (303) 455-6277. MHFD is a public agency based in Denver, CO USA."
