source,paperid,doi,file_name,format,parse_status,n_tables,max_table_rows,n_images,n_words_prose,has_observation_table,any_summary_table,n_sheets,max_sheet_rows,n_merged_ranges,multi_table_sheet,content_class
jwh,112069,10.2166/wh.2026.194,jwh0240744supp1.docx,docx,ok,9,12,0,2472,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,112026,10.2166/wh.2026.223,jwh0240773supp1.docx,docx,ok,3,3,0,742,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,112139,10.2166/wh.2026.227,jwh0240784supp1.docx,docx,ok,70,12,0,2639,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,112147,10.2166/wh.2026.240,jwh0240830supp1.docx,docx,ok,8,60,0,184,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,111816,10.2166/wh.2026.261,jwh0240844supp1.docx,docx,ok,0,0,0,19305,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,31386,10.2166/wh.2010.103,103.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,19815,10.2166/wh.2011.155,155.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,1926,10.2166/wh.2012.071,071.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,2608,10.2166/wh.2012.117,117.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,2773,10.2166/wh.2012.105,105.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,2790,10.2166/wh.2012.121,121.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,2787,10.2166/wh.2013.104,104.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,15831,10.2166/wh.2013.225,225.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,15839,10.2166/wh.2013.139,139.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,1690,10.2166/wh.2013.212,212.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,7937,10.2166/wh.2013.068,068.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,562,10.2166/wh.2014.163,063.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,571,10.2166/wh.2014.051,051.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,28219,10.2166/wh.2014.013,013.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,28374,10.2166/wh.2014.204,204.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,28392,10.2166/wh.2015.210,210.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,28278,10.2166/wh.2015.105,wh2015105supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,28283,10.2166/wh.2015.138,wh2015138supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
jwh,28020,10.2166/wh.2016.002,wh2016002supp.docx,docx,ok,0,0,0,3816,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,28030,10.2166/wh.2016.046,wh2016046supp.docx,docx,ok,0,0,0,197,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,28412,10.2166/wh.2016.071,wh2016071supp.docx,docx,ok,0,0,0,882,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,28257,10.2166/wh.2016.285,wh2016285supp.docx,docx,ok,0,0,0,750,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,28267,10.2166/wh.2016.132,wh2016132supp.docx,docx,ok,1,62,0,3491,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,28445,10.2166/wh.2017.261,wh2017261supp.docx,docx,ok,0,0,0,280,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,28458,10.2166/wh.2017.183,wh2017183supp.docx,docx,ok,1,19,0,1325,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,28708,10.2166/wh.2017.083,wh2017083supp.docx,docx,ok,0,0,0,452,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,28736,10.2166/wh.2017.321,wh2017321supp.docx,docx,ok,1,13,0,5232,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,28738,10.2166/wh.2017.054,wh2017054supp.docx,docx,ok,0,0,0,95,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,37956,10.2166/wh.2017.100,wh2017100supp.docx,docx,ok,0,0,0,643,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,37982,10.2166/wh.2017.209,wh2017209supp1.docx,docx,ok,0,0,0,770,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,37987,10.2166/wh.2017.147,wh2017147supp1.docx,docx,ok,0,0,0,95,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,38000,10.2166/wh.2018.261,wh2018261supp1.docx,docx,ok,1,4,0,8494,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,39091,10.2166/wh.2018.187,wh2018187supp1.docx,docx,ok,0,0,0,72,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,39107,10.2166/wh.2018.278,wh2018278supp1.docx,docx,ok,3,6,0,745,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,40827,10.2166/wh.2018.281,wh2018281supp1.docx,docx,ok,0,0,0,11199,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,41451,10.2166/wh.2018.033,wh2018033supp.docx,docx,ok,0,0,0,134,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,62802,10.2166/wh.2018.071,wh2018071supp.docx,docx,ok,5,8,0,214,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,63864,10.2166/wh.2018.067,wh2018067supp.docx,docx,ok,0,0,0,10824,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,65391,10.2166/wh.2019.210,wh2019210supp.docx,docx,ok,1,4,13,546,FALSE,FALSE,NA,NA,NA,NA,summary tables
jwh,65174,10.2166/wh.2018.367,wh2018367supp.docx,docx,ok,0,0,0,1440,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,64494,10.2166/wh.2018.181,wh2018181supp.docx,docx,ok,0,0,0,155,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,65143,10.2166/wh.2018.323,wh2018323supp.docx,docx,ok,0,0,0,73,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,65354,10.2166/wh.2018.164,wh2018164supp.docx,docx,ok,0,0,0,8571,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,65139,10.2166/wh.2018.243,wh2018243supp.docx,docx,ok,0,0,0,602,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,65172,10.2166/wh.2018.224,wh2018224supp.docx,docx,ok,1,91,0,106,FALSE,TRUE,NA,NA,NA,NA,summary tables
jwh,65559,10.2166/wh.2019.165,wh2019165supp.docx,docx,ok,1,16,0,25,TRUE,FALSE,NA,NA,NA,NA,observation tables
jwh,66177,10.2166/wh.2019.282,wh2019282supp.docx,docx,ok,0,0,0,922,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,66178,10.2166/wh.2019.295,wh2019295supp.docx,docx,ok,0,0,0,46,FALSE,FALSE,NA,NA,NA,NA,prose only
jwh,66484,10.2166/wh.2019.124,wh2019124supp.pdf,pdf,not_attempted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_attempted
