paperid,doi
198,10.1002/ep.13800
89,10.2105/ajph.2022.307108
200,10.1002/lom3.10469
77,10.2112/jcoastres-d-22-00047.1
81,10.13031/ja.15189
97,10.1002/eap.2766
25,10.1175/bams-d-21-0157.1
143,10.3390/w14132088
54,10.1186/s42522-023-00079-0
105,10.1039/d2em00246a
113,10.1287/inte.2022.1136
5,10.24857/rgsa.v17n7-013
176,10.3934/dcdss.2021151
74,10.1016/j.ajog.2022.11.683
142,10.3389/ftox.2022.1010185
138,10.1017/ice.2022.8
98,10.3389/fenvs.2022.958784
0,10.1089/env.2022.0100
58,10.1061/jwrmd5.wreng-5863
92,10.1061/(asce)wr.1943-5452.0001604
26,10.1002/awwa.2109
95,10.1002/awwa.1977
128,10.1097/ee9.0000000000000217
157,10.1097/ee9.0000000000000210
119,10.1016/j.agwat.2023.108179
56,10.1016/s2542-5196(23)00028-1
144,10.1016/s0140-6736(22)00937-0
30,10.1371/journal.pwat.0000140
191,10.1016/j.scitotenv.2022.154763
106,10.1289/ehp11033
120,10.1289/ehp11033
139,10.1289/ehp11633
4,10.1007/s12237-023-01242-6
85,10.1007/s13157-022-01605-y
189,10.1007/s10980-022-01425-9
3,10.1073/pnas.2216021120
37,10.1073/pnas.2120252120
196,10.1073/pnas.2110694119
53,10.1080/21622515.2023.2182719
57,10.1080/09640568.2023.2183112
165,10.1080/02626667.2022.2052073
135,10.1029/2021wr031533
140,10.1029/2021wr030711
159,10.1029/2021wr030700
175,10.1029/2021ef002139
94,10.1002/esp.5495
121,10.1111/psj.12473
178,10.1002/hyp.14550
111,10.2105/ajph.2022.307003
125,10.1021/acsestwater.2c00157
148,10.1111/hir.12445
15,10.1001/jamaneurol.2023.1168
27,10.1016/j.watres.2023.120008
33,10.1021/acs.accounts.2c00591
76,10.1007/s10661-022-10836-9
78,10.2105/ajph.2022.307108
109,10.1038/s41370-022-00475-0
129,10.1038/s43247-022-00501-x
130,10.1038/s41545-021-00128-z
161,10.1038/s41597-022-01358-7
8,10.1371/journal.pntd.0011496
118,10.1371/journal.pwat.0000039
133,10.1371/journal.pwat.0000032
141,10.1371/journal.pone.0270688
145,10.1371/journal.pone.0270659
149,10.1371/journal.pntd.0010495
31,10.1021/acs.est.3c00536
32,10.1021/acs.est.3c00947
35,10.1029/2022wr032392
39,10.1371/journal.pwat.0000123
42,10.1016/j.scitotenv.2023.162978
2,10.3390/hydrology10070156
13,10.3390/w15132436
64,10.3390/environments10020017
68,10.3390/ijms24021295
80,10.3390/w14132088
82,10.3390/info13120551
90,10.3390/hydrology9120218
100,10.3390/app121910159
108,10.3390/land11091504
114,10.3390/app121910159
151,10.3390/earth3020039
158,10.3390/w14101525
172,10.3390/ijerph19084628
182,10.3390/su14073889
186,10.3390/f13030411
194,10.3390/w14020247
14,10.1021/acs.est.3c01146
19,10.1021/acs.estlett.0c00255
21,10.1021/acs.est.3c05429
34,10.1021/acs.est.2c07477
46,10.1021/acs.est.2c07316
61,10.1021/acs.accounts.2c00591
93,10.1021/acsestwater.2c00320
99,10.1021/acs.estlett.2c00502
104,10.1021/acsestwater.2c00287
112,10.1021/acs.est.2c04717.s005
124,10.1021/acs.est.2c03076
137,10.1021/acsapm.2c00959
185,10.1021/acs.est.2c00224
190,10.1021/acs.est.1c05683
6,10.1016/j.watres.2023.120112
7,10.1016/j.ecoleng.2023.107011
12,10.1016/j.scitotenv.2023.165091
18,10.1016/j.envint.2023.108033
20,10.1016/j.watres.2023.120116
22,10.1016/j.jece.2023.110502
23,10.1016/j.scitotenv.2023.164087
24,10.1016/j.quascirev.2023.108153
29,10.1016/j.scitotenv.2023.163266
36,10.1016/s2214-109x(23)00006-2
41,10.1016/j.jenvman.2023.117600
43,10.1016/j.watres.2023.120008
45,10.1016/j.scitotenv.2023.161426
47,10.1016/j.scitotenv.2023.162940
48,10.1016/j.ecolind.2023.110190
49,10.1016/j.eclinm.2023.101958
50,10.1016/j.dynatmoce.2023.101364
51,10.1016/j.scitotenv.2023.163123
52,10.1016/j.geomorph.2023.108666
55,10.2139/ssrn.4161726
59,10.1016/j.scitotenv.2023.161426
60,10.1016/j.cej.2023.141636
62,10.1016/j.watres.2023.119652
63,10.1016/j.agwat.2023.108179
66,10.1016/j.scib.2022.12.015
67,10.1016/j.scitotenv.2022.161101
69,10.1016/j.scitotenv.2023.161426
70,10.1016/j.jhazmat.2022.130690
71,10.1016/j.jrurstud.2022.11.011
72,10.2139/ssrn.4230110
73,10.1016/j.jconhyd.2022.104124
75,10.1016/j.coastaleng.2022.104275
79,10.1016/j.scitotenv.2022.159996
83,10.2139/ssrn.4161726
86,10.2139/ssrn.4225062
87,10.1016/j.pdisas.2022.100266
96,10.1016/j.scitotenv.2022.158749
115,10.1016/j.scitotenv.2022.158842
122,10.2139/ssrn.4125290
126,10.1016/j.memsci.2022.120856
127,10.1016/j.jenvman.2022.115334
131,10.1016/j.ecss.2022.107973
132,10.1289/isee.2021.p-321
136,10.1016/j.scitotenv.2022.154763
146,10.2139/ssrn.3978613
147,10.1016/j.ecoleng.2022.106696
150,10.1016/j.csr.2022.104789
153,10.1016/j.watres.2022.118802
154,10.1016/j.jenvman.2022.115334
156,10.1289/isee.2020.virtual.p-0506
160,10.1016/j.scitotenv.2022.153153
162,10.2139/ssrn.4028264
163,10.1016/j.jenvman.2022.115004
164,10.1016/j.gsd.2022.100759
171,10.1016/j.nbsj.2022.100016
173,10.1016/j.apgeog.2022.102637
177,10.1016/j.scitotenv.2022.154763
181,10.1016/j.scitotenv.2021.152503
187,10.1016/j.agwat.2022.107592
188,10.1289/isee.2021.p-321
192,10.1016/j.gsd.2022.100759
195,10.1016/j.scitotenv.2021.151479
