source_id,venue,decision,issn_l,publisher,is_oa,is_in_doaj,opf_covered,opf_n_pathways,top_matched,top_data_transparency,top_data_citation,n_plos_osi,n_osi_comparator,n_aaas,own_scrape,any_behavioral,layers_covered,residual_for_35
S2495644771,Journal of Water Sanitation and Hygiene for Development,whole_journal,2043-9083,IWA Publishing,TRUE,FALSE,TRUE,3,FALSE,NA,NA,0,0,0,TRUE,TRUE,2,FALSE
S4210228842,Journal of Water Supply Research and Technology—AQUA,whole_journal,0003-7214,UWA Publishing,FALSE,FALSE,TRUE,3,FALSE,NA,NA,0,0,0,TRUE,TRUE,2,FALSE
S26443501,Journal of Water and Health,whole_journal,1477-8920,UWA Publishing,TRUE,TRUE,TRUE,3,FALSE,NA,NA,0,0,0,TRUE,TRUE,2,FALSE
S124453322,Water Science & Technology Water Supply,whole_journal,1606-9749,IWA Publishing,FALSE,FALSE,TRUE,3,FALSE,NA,NA,0,0,0,TRUE,TRUE,2,FALSE
S137656717,Water Practice & Technology,filtered_slice_conditional,1751-231X,UWA Publishing,FALSE,FALSE,TRUE,3,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S2764879708,China Water & Wastewater,filtered_slice_conditional,NA,North China Municipal Engineering Design & Research Institute,FALSE,FALSE,FALSE,0,FALSE,NA,NA,0,0,0,FALSE,FALSE,0,TRUE
S2764434589,Journal of Water Process Engineering,filtered_slice_conditional,2214-7144,Elsevier BV,FALSE,FALSE,TRUE,7,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S4210201235,ACS ES&T Water,filtered_slice_conditional,2690-0637,American Chemical Society,FALSE,FALSE,TRUE,5,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S52566953,Water Research,filtered_slice_conditional,0043-1354,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,2,1,0,3,0,FALSE,TRUE,3,FALSE
S2764931087,Applied Water Science,filtered_slice_conditional,2190-5487,Springer Nature,TRUE,TRUE,TRUE,3,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S53450646,Water Science & Technology,filtered_slice_conditional,0273-1223,Pergamon Press,TRUE,TRUE,TRUE,3,TRUE,0,0,0,0,0,FALSE,FALSE,2,TRUE
S2764832999,Scientific investigations report,filtered_slice_conditional,2328-031X,United States Geological Survey,FALSE,FALSE,FALSE,0,FALSE,NA,NA,0,0,0,FALSE,FALSE,0,TRUE
S130511131,Water Environment Research,filtered_slice_conditional,0043-1303,Wiley,FALSE,FALSE,TRUE,4,FALSE,NA,NA,0,1,0,FALSE,TRUE,2,FALSE
S134216166,Water,filtered_slice_conditional,2073-4441,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,TRUE,2,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S124203677,Desalination and Water Treatment,filtered_slice_conditional,1944-3986,Taylor & Francis,TRUE,TRUE,TRUE,2,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S86512602,Desalination,filtered_slice_conditional,0011-9164,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,0,1,0,0,0,FALSE,FALSE,2,TRUE
S2764859491,Journal of environmental chemical engineering,filtered_slice_conditional,2213-2929,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,0,1,0,0,0,FALSE,FALSE,2,TRUE
S11732831,Environmental Monitoring and Assessment,filtered_slice_conditional,0167-6369,Springer Science+Business Media,FALSE,FALSE,TRUE,4,FALSE,NA,NA,0,68,0,FALSE,TRUE,2,FALSE
S4210200103,Proceedings of the Water Environment Federation,filtered_slice_conditional,1938-6478,Water Environment Federation,FALSE,FALSE,FALSE,0,FALSE,NA,NA,0,0,0,FALSE,FALSE,0,TRUE
S44455300,Journal of Environmental Management,filtered_slice_conditional,0301-4797,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,0,1,0,1,0,FALSE,TRUE,3,FALSE
S140251998,Journal of Biological Chemistry,filtered_slice_conditional,0021-9258,Elsevier BV,TRUE,TRUE,TRUE,4,TRUE,0,0,0,116,0,FALSE,TRUE,3,FALSE
S35825460,Journal of Environmental Sciences,filtered_slice_conditional,1001-0742,Elsevier BV,FALSE,FALSE,TRUE,7,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
S86852077,The Science of The Total Environment,filtered_slice_conditional,0048-9697,Elsevier BV,FALSE,FALSE,TRUE,7,TRUE,0,1,0,3,0,FALSE,TRUE,3,FALSE
S46544255,PLoS neglected tropical diseases,filtered_slice_conditional,1935-2727,Public Library of Science,TRUE,TRUE,TRUE,3,TRUE,2,1,6037,0,0,FALSE,TRUE,3,FALSE
S69753523,Separation and Purification Technology,filtered_slice_conditional,1383-5866,Elsevier BV,FALSE,FALSE,TRUE,7,FALSE,NA,NA,0,0,0,FALSE,FALSE,1,TRUE
