source_id,venue,matched,share,publisher,type
S137656717,Water Practice & Technology,1269,0.4710467706013363,UWA Publishing,journal
S2764879708,China Water & Wastewater,2385,0.42764927380312,North China Municipal Engineering Design & Research Institute,journal
S2764434589,Journal of Water Process Engineering,4356,0.4170416467209191,Elsevier BV,journal
S4210201235,ACS ES&T Water,1076,0.3924142961342086,American Chemical Society,journal
S52566953,Water Research,9629,0.3772823446438367,Elsevier BV,journal
S2764931087,Applied Water Science,1072,0.3740404745289602,Springer Nature,journal
S53450646,Water Science & Technology,8309,0.36447778216431986,Pergamon Press,journal
S2764832999,Scientific investigations report,1746,0.361341059602649,United States Geological Survey,journal
S130511131,Water Environment Research,1681,0.30878030859662015,Wiley,journal
S134216166,Water,8550,0.26609816065481934,Multidisciplinary Digital Publishing Institute,journal
S124203677,Desalination and Water Treatment,5290,0.25740839861807213,Taylor & Francis,journal
S86512602,Desalination,3670,0.21003834487494993,Elsevier BV,journal
S2764859491,Journal of environmental chemical engineering,4770,0.19904857285928892,Elsevier BV,journal
S11732831,Environmental Monitoring and Assessment,3636,0.1946779461369599,Springer Science+Business Media,journal
S4210200103,Proceedings of the Water Environment Federation,3742,0.1896508033044448,Water Environment Federation,journal
S44455300,Journal of Environmental Management,5315,0.17722574191397134,Elsevier BV,journal
S140251998,Journal of Biological Chemistry,20002,0.1640422530590821,Elsevier BV,journal
S35825460,Journal of Environmental Sciences,1225,0.1469001079266099,Elsevier BV,journal
S86852077,The Science of The Total Environment,11303,0.14607511178888055,Elsevier BV,journal
S46544255,PLoS neglected tropical diseases,1900,0.14140061025526532,Public Library of Science,journal
S69753523,Separation and Purification Technology,4279,0.1384476008671175,Elsevier BV,journal
S87561820,Environmental Science and Pollution Research,6385,0.13112229181640825,Springer Science+Business Media,journal
S203465130,Chemosphere,5733,0.12627475165745247,Elsevier BV,journal
S4210170078,Oncology Times,1791,0.12525351423176445,Wolters Kluwer,journal
S13479253,Environmental Science & Technology,6531,0.11520550361615806,American Chemical Society,journal
S145089992,Journal of Hazardous Materials,4701,0.11470889658874628,Elsevier BV,journal
S21442059,Bioresource Technology,3837,0.11122706322288894,Elsevier BV,journal
S158228368,Applied and Environmental Microbiology,2967,0.10826491516146688,American Society for Microbiology,journal
S70979998,Applied Microbiology and Biotechnology,1785,0.1044776119402985,Springer Science+Business Media,journal
S100045985,American Journal of Tropical Medicine and Hygiene,1362,0.09552531911909104,American Society of Tropical Medicine and Hygiene,journal
S201530359,Environmental Pollution,2541,0.0935877131597363,Elsevier BV,journal
S149937609,Chemical Engineering Journal,6716,0.08735691987513007,Elsevier BV,journal
S119469986,Journal of Membrane Science,1867,0.07977268842932832,Elsevier BV,journal
S58516903,Journal of Cleaner Production,3847,0.07751828641666834,Elsevier BV,journal
S2484704948,Frontiers in Microbiology,3186,0.07702349869451697,Frontiers Media,journal
S168522863,Cancer Research,9715,0.06139020537124803,American Association for Cancer Research,journal
S200071133,Blood,10210,0.06006801040159083,Elsevier BV,journal
S134307298,Applied Catalysis B: Environmental,1066,0.05490600051506567,Elsevier BV,journal
S72684844,Journal of Animal Science,1642,0.05188977373277714,Oxford University Press,journal
S47215897,Antimicrobial Agents and Chemotherapy,1178,0.04941067908225326,American Society for Microbiology,journal
S2738498342,EFSA Journal,412,0.04415389561676133,Wiley,journal
S25293849,The FASEB Journal,6016,0.04402842526657835,Wiley,journal
S10134376,Sustainability,3978,0.03704703986887322,Multidisciplinary Digital Publishing Institute,journal
S202381698,PLoS ONE,9663,0.02831349659816107,Public Library of Science,journal
S196734849,Scientific Reports,8296,0.02717389524162034,Nature Portfolio,journal
S15137598,Journal of Clinical Oncology,4074,0.0239434384752367,Lippincott Williams & Wilkins,journal
