source_id,venue,decision,display_name,issn_l,issns,publisher,source_type,is_oa,is_in_doaj,apc_usd,works_count,homepage_url,n_diamond,n_closed,n_green,n_hybrid,n_bronze,n_gold
S2495644771,Journal of Water Sanitation and Hygiene for Development,whole_journal,Journal of Water Sanitation and Hygiene for Development,2043-9083,2043-9083;2408-9362,IWA Publishing,journal,TRUE,FALSE,NA,1192,https://iwaponline.com/washdev,691,357,54,52,34,1
S4210228842,Journal of Water Supply Research and Technology—AQUA,whole_journal,AQUA - Water Infrastructure Ecosystems and Society,0003-7214,0003-7214;1365-2087;1605-3974;1606-9935;2709-8028;2709-8036,UWA Publishing,journal,FALSE,FALSE,NA,1892,NA,0,1178,60,595,55,2
S26443501,Journal of Water and Health,whole_journal,Journal of Water and Health,1477-8920,1477-8920;1996-7829,UWA Publishing,journal,TRUE,TRUE,NA,2039,https://iwaponline.com/jwh,715,550,58,129,586,1
S124453322,Water Science & Technology Water Supply,whole_journal,Water Science & Technology Water Supply,1606-9749,1606-9749;1607-0798,IWA Publishing,journal,FALSE,FALSE,NA,4992,https://iwaponline.com/ws,0,2777,162,1794,253,3
S137656717,Water Practice & Technology,filtered_slice_conditional,Water Practice & Technology,1751-231X,1751-231X,UWA Publishing,journal,FALSE,FALSE,NA,2739,https://iwaponline.com/wpt,66,1420,54,1116,80,0
S2764879708,China Water & Wastewater,filtered_slice_conditional,China Water & Wastewater,NA,,North China Municipal Engineering Design & Research Institute,journal,FALSE,FALSE,NA,5579,NA,0,5577,0,0,0,0
S2764434589,Journal of Water Process Engineering,filtered_slice_conditional,Journal of Water Process Engineering,2214-7144,2214-7144,Elsevier BV,journal,FALSE,FALSE,3350,10725,https://www.journals.elsevier.com/journal-of-water-process-engineering,0,8949,413,1185,63,5
S4210201235,ACS ES&T Water,filtered_slice_conditional,ACS ES&T Water,2690-0637,2690-0637,American Chemical Society,journal,FALSE,FALSE,4500,2803,https://pubs.acs.org/journal/aewcaa,0,1997,142,568,83,4
S52566953,Water Research,filtered_slice_conditional,Water Research,0043-1354,0043-1354;1879-2448,Elsevier BV,journal,FALSE,FALSE,4660,31688,http://www.elsevier.com/wps/find/journaldescription.cws_home/309/description,0,21066,1911,2103,497,33
S2764931087,Applied Water Science,filtered_slice_conditional,Applied Water Science,2190-5487,2190-5487;2190-5495,Springer Nature,journal,TRUE,TRUE,2490,2886,https://link.springer.com/journal/13201,0,0,1,1,0,2879
