work_id,doi,title,publication_year
W2338517335,https://doi.org/10.2166/aqua.2002.0038,Dissolved organic nitrogen in drinking water supplies: a review,2002
W2068847382,https://doi.org/10.2166/aqua.2010.052,Assessing biological stability of drinking water without disinfectant residuals in a full-scale water supply system,2010
W3094435414,https://doi.org/10.2166/aqua.2020.052,The effectiveness of household water treatment and safe storage in improving drinking water quality: a disinfection by-product (DBP) perspective,2020
W1973040069,https://doi.org/10.2166/aqua.2013.007,Drinking water treatment technologies in Europe: state of the art – challenges – research needs,2013
W1984164921,https://doi.org/10.2166/aqua.2007.013,Developments of high rate dissolved air flotation for drinking water treatment,2007
W2142096715,https://doi.org/10.2166/aqua.1999.0025,A review of performance indicators for real losses from water supply systems,1999
W70836419,https://doi.org/10.2166/aqua.2006.0010,Water quality of rooftop rainwater harvesting systems: a review,2006
W2019752220,https://doi.org/10.2166/aqua.2008.100,Fixed-bed adsorption in drinking water treatment: a critical review on models and parameter estimation,2008
W2088306619,https://doi.org/10.2166/aqua.2013.123,Managing water quality impacts from drought on drinking water supplies,2013
W112716503,https://doi.org/10.2166/aqua.2004.0030,Chloral hydrate: Formation and removal by drinking water treatment,2004
W1502689828,https://doi.org/10.2166/aqua.1999.0019,"Removal of pesticides during the drinking water treatment process at Florence water supply, Italy",1999
W2020604465,https://doi.org/10.2166/aqua.2008.046b,Dissolved air flotation: progress and prospects for drinking water treatment,2008
W633335642,https://doi.org/10.2166/aqua.2001.0015,Hydrogenotrophic denitrification of drinking water using a hollow fibre membrane bioreactor,2001
W3002710526,https://doi.org/10.2166/aqua.2020.122,Assessment of Cau River water quality assessment using a combination of water quality and pollution indices,2020
W2335521454,https://doi.org/10.2166/aqua.2010.077,NDMA and seven other nitrosamines in selected UK drinking water supply systems,2010
W1993749200,https://doi.org/10.2166/aqua.2013.063,Better water quality and higher energy efficiency by using model predictive flow control at water supply systems,2013
W2026192323,https://doi.org/10.2166/aqua.2010.028,Flocs and separation processes in drinking water treatment: a review,2010
W1977381169,https://doi.org/10.2166/aqua.2008.188,Oxidation of microcystin-LR with chlorine and permanganate during drinking water treatment,2008
W2082281150,https://doi.org/10.2166/aqua.2008.098,Integrated simulation of drinking water treatment,2008
W2750908621,https://doi.org/10.2166/aqua.2017.079,Policy recommendation for drinking water supply cross-border networking in the Adriatic region,2017
W2053997611,https://doi.org/10.2166/aqua.2007.092,Biological nitrification in a full-scale and pilot-scale iron removal drinking water treatment plant,2007
W2315338270,https://doi.org/10.2166/aqua.2011.059,Removal of NOM-constituents as characterized by LC-OCD and F-EEM during drinking water treatment,2011
W2308986138,https://doi.org/10.2166/aqua.2004.0019,Water treatment options for dissolved cyanotoxins,2004
W1608307657,https://doi.org/10.2166/aqua.2002.0016,Removal of 2-methylisoborneol and geosmin in surface water treatment plants in Arizona,2002
W2339243250,https://doi.org/10.2166/aqua.2000.0021,Impact of stagnation time on metal dissolution from plumbing materials in drinking water,2000
W2300438751,https://doi.org/10.2166/aqua.2004.0008,A rapid fractionation technique to characterise natural organic matter for the optimisation of water treatment processes,2004
W2322972736,https://doi.org/10.2166/aqua.2013.065,Improving equity in intermittent water supply systems,2013
W3008229403,https://doi.org/10.2166/aqua.2020.108,"Study of groundwater contamination and drinking suitability in basaltic terrain of Maharashtra, India through PIG and multivariate statistical techniques",2020
W64400671,https://doi.org/10.2166/aqua.2003.0051,UV photooxidation of NOM: issues related to drinking water treatment,2003
W2050559707,https://doi.org/10.2166/aqua.2010.071,Multicriteria decision analysis for the selection of a small drinking water treatment system,2010
W2048686644,https://doi.org/10.2166/aqua.2013.080,Removal and degradation of glyphosate in water treatment: a review,2013
W3093704290,https://doi.org/10.2166/aqua.2020.048,State-of-the-art review on the transient flow modeling and utilization for urban water supply system (UWSS) management,2020
W1986077467,https://doi.org/10.2166/aqua.2007.091,Removal of pharmaceuticals and related compounds by a bench-scale drinking water treatment system,2007
W2087275884,https://doi.org/10.2166/aqua.2012.098,Dissolved organic nitrogen (DON) in a full-scale drinking water treatment plant,2012
W2092534448,https://doi.org/10.2166/aqua.2012.070,Survey of statewide public perceptions regarding water reuse in Arizona,2012
W3128135687,https://doi.org/10.2166/aqua.2021.076,Assessment of rainwater harvesting and maintenance practice for better drinking water quality in rural areas,2021
W156809527,https://doi.org/10.2166/aqua.1999.0024,Evaluation of chlorine decay kinetics expressions for drinking water distribution systems modelling,1999
W2031835508,https://doi.org/10.2166/aqua.2009.124,European reassessment of MIB and geosmin perception in drinking water,2009
W2790830891,https://doi.org/10.2166/aqua.2018.091,Drinking water supply systems: decreasing advisories and improving treatment through real-time water quality monitoring,2018
W111596086,https://doi.org/10.2166/aqua.2002.0021,A cross-sectional study of enteric disease risks associated with water quality and sanitation in Hyderabad City,2002
W2254428583,https://doi.org/10.2166/aqua.2001.0011,"Invasion of the non-indigenous nuisance mussel, Limnoperna fortunei, into water supply facilities in Japan",2001
W2236469721,https://doi.org/10.2166/aqua.2005.054,Risk assessment and risk management of faecal contamination in drinking water distributed withouta disinfectant residual,2006
W2333321935,https://doi.org/10.2166/aqua.2013.042,"Efficiency of conventional drinking water treatment process in the removal of endosulfan, ethylenethiourea, and 1,2,4-triazole",2013
W2166768719,https://doi.org/10.1046/j.1365-2087.1999.00134.x,Life cycle assessment of drinking water and rain water for toilets flushing,1999
W2172977538,https://doi.org/10.2166/aqua.2003.0023,Testing greenhouse shade nets in collection of fog for water supply,2003
W151602930,https://doi.org/10.2166/aqua.2004.0020,Aggregative risk analysis for water quality failure in distribution networks,2004
W2330127792,https://doi.org/10.2166/aqua.2013.034,PAC membrane bioreactor as an alternative to biological activated carbon filters for drinking water treatment,2013
W2289293457,https://doi.org/10.2166/aqua.2002.0019,Improving eco-efficiency of Amsterdam water supply: A LCA approach,2002
W2252684579,https://doi.org/10.2166/aqua.2014.091,Rethinking aesthetic guidelines for manganese and iron in drinking water,2014
W2245505674,https://doi.org/10.2166/aqua.2015.156,"Drinking water supply service management and sustainable development challenges: case study of Bejaia, Algeria",2015
W2050246537,https://doi.org/10.2166/aqua.1999.0011,"Water quality and the replacement and repair of drinking water infrastructure: the Washington, DC case study",1999
W2257267029,https://doi.org/10.2166/aqua.2015.048,MIKE 11 model-based water quality model as a tool for the evaluation of water quality management plans,2015
W2761670624,https://doi.org/10.2166/aqua.2017.147,"(Yet more) challenges for water treatment plants: potential contribution of hypochlorite solutions to bromate, chlorate, chlorite and perchlorate in drinking water",2017
W2406338295,https://doi.org/10.2166/aqua.2002.0036,Dynamics of biofilm formation in a model drinking water distribution system,2002
W2991502849,https://doi.org/10.2166/aqua.2019.061,"Possible health impacts due to animal and human fecal pollution in water intended for drinking water supply of Rio de Janeiro, Brazil",2019
W1983856722,https://doi.org/10.2166/aqua.2011.042,Evaluation of drinking water quality in a water supply distribution network based on Grey correlation analysis,2011
W2260317457,https://doi.org/10.2166/aqua.2001.0002,Drinking water from Chinese rivers: challenges of clarification,2001
W4307377237,https://doi.org/10.2166/aqua.2022.133,The effect of pH on taste and odor production and control of drinking water,2022
W2980121244,https://doi.org/10.2166/aqua.2019.103,"Assessment of drinking water quality in regional New South Wales, Australia",2019
W1974416210,https://doi.org/10.2166/aqua.2009.014,"Bromate, chlorate, chlorite and perchlorate in sodium hypochlorite solution used in water supply",2009
W2058183017,https://doi.org/10.2166/aqua.2011.035,Problematic algae in the sedimentation and filtration process of water treatment plants,2011
W2327789289,https://doi.org/10.2166/aqua.2011.050,Recycle of waste backwash water in ultrafiltration drinking water treatment processes,2011
W2275733834,https://doi.org/10.2166/aqua.2003.0006,Regenerability of Turkish clinoptilolite for use in ammonia removal from drinking water,2003
