work_id,doi,title,publication_year
W1488799902,https://doi.org/10.2166/wh.2003.0013,Faecal contamination of drinking water during collection and household storage: the need to extend protection to the point of use,2003
W2171706443,https://doi.org/10.2166/wh.2007.009,Global cost-benefit analysis of water supply and sanitation interventions,2007
W179907159,https://doi.org/10.2166/wh.2003.0008,Drinking water and diarrhoeal disease due to Escherichia coli,2003
W2055553384,https://doi.org/10.2166/wh.2012.105,Global costs and benefits of reaching universal coverage of sanitation and drinking-water supply,2012
W2117552883,https://doi.org/10.2166/wh.2007.010,Cost-effectiveness of water quality interventions for preventing diarrhoeal disease in developing countries,2007
W1595357746,https://doi.org/10.2166/wh.2006.0043,"Global challenges in water, sanitation and health",2006
W2037838246,https://doi.org/10.2166/wh.2009.007,Microbiological effectiveness of locally produced ceramic filters for drinking water treatment in Cambodia,2009
W2112432197,https://doi.org/10.2166/wh.2004.0007,Diarrhoeal diseases in Nepal vis-à-vis water supply and sanitation status,2004
W2161089585,https://doi.org/10.2166/wh.2005.0012,Deficiencies in drinking water distribution systems in developing countries,2005
W2129811009,https://doi.org/10.2166/wh.2012.102,Unsealed tubewells lead to increased fecal contamination of drinking water,2012
W2326002130,https://doi.org/10.2166/wh.2013.213,"Improving service delivery of water, sanitation, and hygiene in primary schools: a cluster-randomized trial in western Kenya",2013
W2991414241,https://doi.org/10.2166/wh.2020.088,"Water, sanitation and hygiene risk factors for the transmission of cholera in a changing climate: using a systematic review to develop a causal process diagram",2020
W2146241649,https://doi.org/10.2166/wh.2009.129,"Free-living amoebae, Legionella and Mycobacterium in tap water supplied by a municipal drinking water utility in the USA",2009
W2131568410,https://doi.org/10.2166/wh.2009.032,"Child dysentery in the Limpopo Valley: a cohort study of water, sanitation and hygiene risk factors",2009
W2018597727,https://doi.org/10.2166/wh.2008.055,HACCP and water safety plans in Icelandic water supply: Preliminary evaluation of experience,2008
W2109005874,https://doi.org/10.2166/wh.2011.114,Bacteriological assessment of drinking water supply options in coastal areas of Bangladesh,2011
W1502844937,https://doi.org/10.2166/wh.2004.0001,A systematic review of the health outcomes related to household water quality in developing countries,2004
W2103501563,https://doi.org/10.2166/wh.2007.008,Estimating the costs and health benefits of water and sanitation improvements at global level,2007
W1998915369,https://doi.org/10.2166/wh.2013.152,Quantitative analysis of microbial contamination in private drinking water supply systems,2013
W1964075702,https://doi.org/10.2166/wh.2009.094,"Is fecal contamination of drinking water after collection associated with household water handling and hygiene practices? A study of urban slum households in Hyderabad, India",2008
