work_id,doi,title,publication_year
W3095195722,https://doi.org/10.2166/ws.2020.264,A review on harvesting and harnessing rainwater: an alternative strategy to cope with drinking water scarcity,2020
W2805030789,https://doi.org/10.2166/ws.2003.0067,Water reuse in Israel - the Dan Region Project: evaluation of water quality and reliability of plant's operation,2003
W2008645810,https://doi.org/10.2166/ws.2010.896,Assessment of rainwater harvesting for drinking water supply in Bangladesh,2010
W2297771471,https://doi.org/10.2166/ws.2015.011,A review of different drinking water treatments for natural organic matter removal,2015
W2342103242,https://doi.org/10.2166/ws.2004.0116,Integrated operation of drinking water treatment plant at Amsterdam water supply,2004
W4391167107,https://doi.org/10.2166/ws.2024.008,Implications of climate change on water quality and sanitation in climate hotspot locations: A case study in Indonesia,2024
W2003468089,https://doi.org/10.2166/ws.2007.144,Overcoming the drawbacks of natural coagulants for drinking water treatment,2007
W2001950116,https://doi.org/10.2166/ws.2009.569,Characterization of NOM in a drinking water treatment process train with no disinfectant residual,2009
W2079565266,https://doi.org/10.2166/ws.2007.142,Ceramic silver-impregnated pot filters for household drinking water treatment in developing countries: material characterization and performance study,2007
W2509355746,https://doi.org/10.2166/ws.2008.077,The impact of climate change on drinking water supply by riverbank filtration,2008
W1964412449,https://doi.org/10.2166/ws.2007.025,The road not taken: how traditional excreta and greywater management may point the way to a sustainable future,2007
W4225390979,https://doi.org/10.2166/ws.2022.189,Microplastics in drinking water: a macro issue,2022
W2312327300,https://doi.org/10.2166/ws.2002.0011,Modelling of drinking water treatment processes within the Stimela environment,2002
W1997648170,https://doi.org/10.2166/ws.2008.068,Drinking water treatment plant assessment through performance indicators,2008
W2928597734,https://doi.org/10.2166/ws.2019.050,Feasibility of solar-powered ultrafiltration membrane water treatment systems for rural water supply in Malaysia,2019
W1551226324,https://doi.org/10.2166/ws.2003.0002,Community experience and perceptions of water reuse,2003
W2980101188,https://doi.org/10.2166/ws.2019.144,Water quality monitoring: from conventional to emerging technologies,2019
W4200053915,https://doi.org/10.2166/ws.2021.412,Progress on legal and practical aspects on water reuse with emphasis on drinking water – an overview,2021
