source_id,venue,issn_queried,opf_id,opf_title,listed_in_doaj,opf_publisher,policy_id,oa_prohibited,article_version,license,embargo_amount,embargo_units,additional_oa_fee,locations,named_repositories,prerequisite_funders
S2495644771,Journal of Water Sanitation and Hygiene for Development,2043-9083,13280,"Journal of Water, Sanitation & Hygiene for Development",yes,IWA Publishing,3241,no,published,cc_by;cc_by_nd,NA,NA,no,any_website;this_journal,NA,NA
S2495644771,Journal of Water Sanitation and Hygiene for Development,2043-9083,13280,"Journal of Water, Sanitation & Hygiene for Development",yes,IWA Publishing,3241,no,published,cc_by_nc,NA,NA,no,non_commercial_website;this_journal,NA,NA
S2495644771,Journal of Water Sanitation and Hygiene for Development,2043-9083,13280,"Journal of Water, Sanitation & Hygiene for Development",yes,IWA Publishing,3241,no,submitted;accepted,NA,NA,NA,NA,authors_homepage;institutional_repository;institutional_website;preprint_repository;subject_repository,NA,NA
S4210228842,Journal of Water Supply Research and Technology—AQUA,2709-8028,13281,"AQUA - Water Infrastructure, Ecosystems and Society",yes,IWA Publishing,3241,no,published,cc_by;cc_by_nd,NA,NA,no,any_website;this_journal,NA,NA
S4210228842,Journal of Water Supply Research and Technology—AQUA,2709-8028,13281,"AQUA - Water Infrastructure, Ecosystems and Society",yes,IWA Publishing,3241,no,published,cc_by_nc,NA,NA,no,non_commercial_website;this_journal,NA,NA
S4210228842,Journal of Water Supply Research and Technology—AQUA,2709-8028,13281,"AQUA - Water Infrastructure, Ecosystems and Society",yes,IWA Publishing,3241,no,submitted;accepted,NA,NA,NA,NA,authors_homepage;institutional_repository;institutional_website;preprint_repository;subject_repository,NA,NA
S26443501,Journal of Water and Health,1477-8920,13279,Journal of Water & Health,yes,IWA Publishing,3241,no,published,cc_by;cc_by_nd,NA,NA,no,any_website;this_journal,NA,NA
S26443501,Journal of Water and Health,1477-8920,13279,Journal of Water & Health,yes,IWA Publishing,3241,no,published,cc_by_nc,NA,NA,no,non_commercial_website;this_journal,NA,NA
S26443501,Journal of Water and Health,1477-8920,13279,Journal of Water & Health,yes,IWA Publishing,3241,no,submitted;accepted,NA,NA,NA,NA,authors_homepage;institutional_repository;institutional_website;preprint_repository;subject_repository,NA,NA
S124453322,Water Science & Technology Water Supply,1606-9749,13288,Water Supply,yes,IWA Publishing,3241,no,published,cc_by;cc_by_nd,NA,NA,no,any_website;this_journal,NA,NA
S124453322,Water Science & Technology Water Supply,1606-9749,13288,Water Supply,yes,IWA Publishing,3241,no,published,cc_by_nc,NA,NA,no,non_commercial_website;this_journal,NA,NA
S124453322,Water Science & Technology Water Supply,1606-9749,13288,Water Supply,yes,IWA Publishing,3241,no,submitted;accepted,NA,NA,NA,NA,authors_homepage;institutional_repository;institutional_website;preprint_repository;subject_repository,NA,NA
S137656717,Water Practice & Technology,1751-231X,13285,Water Practice & Technology,yes,IWA Publishing,3241,no,published,cc_by;cc_by_nd,NA,NA,no,any_website;this_journal,NA,NA
S137656717,Water Practice & Technology,1751-231X,13285,Water Practice & Technology,yes,IWA Publishing,3241,no,published,cc_by_nc,NA,NA,no,non_commercial_website;this_journal,NA,NA
S137656717,Water Practice & Technology,1751-231X,13285,Water Practice & Technology,yes,IWA Publishing,3241,no,submitted;accepted,NA,NA,NA,NA,authors_homepage;institutional_repository;institutional_website;preprint_repository;subject_repository,NA,NA
S2764879708,China Water & Wastewater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,submitted,NA,NA,NA,no,any_website;named_repository,arXiv;RePEC,NA
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,accepted,cc_by_nc_nd,NA,NA,no,authors_homepage;named_repository,arXiv;RePEC,NA
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,accepted,cc_by_nc_nd,24,months,no,institutional_repository;subject_repository,NA,NA
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,published,cc_by_nc_nd;cc_by_nc,NA,NA,yes,named_repository;non_commercial_repository;non_commercial_website;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_website;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,NA
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,published,cc_by,NA,NA,yes,any_repository;institutional_repository;named_repository;subject_repository;this_journal,PubMed Central;Research for Development Repository;ESRC Research Catalogue,"Wellcome Trust;en;name;name;Name;en;en;English;en;British Heart Foundation;en;BHF;name;name;Name;en;en;English;en;Versus Arthritis;en;name;name;Name;en;en;English;en;Biotechnology and Biological Sciences Research Council;en;BBSRC;name;name;Name;en;en;English;en;Blood Cancer UK;en;en;English;en;Gates Foundation;en;GF;en;English;en;Cancer Research UK;en;en;English;en;Chief Scientist Office, Scottish Executive;en;CSO;name;name;Name;en;en;English;en;Department of Health & Social Care (2014);en;DH;name;name;Name;en;en;English;en;National Institute for Health Research (2014);en;NIHR;name;name;Name;en;en;English;en;Vivensa Foundation;en;name;name;Name;en;en;English;en;European Research Council;en;ERC;name;name;Name;en;en;English;en;Medical Research Council;en;MRC;name;name;Name;en;en;English;en;Motor Neuron Disease Association;en;MND Association;name;name;Name;en;en;English;en;Parkinson's UK;en;name;name;Name;en;en;English;en;Telethon Foundation;en;en;English;en;Fondazione Telethon;it;it;Italian;en;National Institute for Health and Care Research;en;NIHR;name;name;Name;en;en;English;en"
S2764434589,Journal of Water Process Engineering,2214-7144,33322,Journal of Water Process Engineering,no,Elsevier,7298,no,accepted,cc_by_nc_nd,12,months,no,institutional_repository;subject_repository,NA,Wellcome Trust;en;name;name;Name;en;en;English;en;UK Research and Innovation;UKRI;acronym;acronym;Acronym;en;Research England (UKRI)
S4210201235,ACS ES&T Water,2690-0637,38830,ACS ES&T Water,no,American Chemical Society,4,no,submitted,NA,NA,NA,no,authors_homepage;named_repository;preprint_repository;subject_repository,ChemRxiv;bioRxiv;arXiv,NA
S4210201235,ACS ES&T Water,2690-0637,38830,ACS ES&T Water,no,American Chemical Society,4,no,accepted,NA,12,months,no,authors_homepage;non_commercial_institutional_repository;non_commercial_subject_repository,NA,NA
