rank,author_id,author_name,matched_works,total_works,matched_share,cited_by_count,orcid,flag_low_share,retained
1,A5062101644,Mark C.M. van Loosdrecht,445,1311,0.33943554538520215,111842,https://orcid.org/0000-0003-0658-4775,FALSE,TRUE
2,A5015991419,Jürg Utzinger,389,843,0.46144721233689207,51004,https://orcid.org/0000-0001-6885-0798,FALSE,TRUE
3,A5003866204,‪Damià Barceló,388,1913,0.20282279142707788,129933,https://orcid.org/0000-0002-8873-0491,FALSE,TRUE
4,A5045272351,Peter A. Vanrolleghem,381,1031,0.36954413191076624,27039,https://orcid.org/0000-0003-1695-1313,FALSE,TRUE
5,A5014355386,Ahmad Fauzi Ismail,354,1933,0.18313502327987585,84673,https://orcid.org/0000-0003-0150-625X,FALSE,TRUE
6,A5035517653,Stephen P. Luby,350,825,0.42424242424242425,38442,https://orcid.org/0000-0001-5385-899X,FALSE,TRUE
7,A5029160541,Didier Pittet,330,1081,0.30527289546716,67135,https://orcid.org/0000-0002-3667-7131,FALSE,TRUE
8,A5068175005,Mika Sillanpää,327,1587,0.2060491493383743,96423,https://orcid.org/0000-0003-3247-5337,FALSE,TRUE
9,A5056472365,Huu Hao Ngo,323,940,0.34361702127659577,60975,https://orcid.org/0000-0002-0296-2866,FALSE,TRUE
10,A5001833569,Jamie Bartram,320,408,0.7843137254901961,25738,https://orcid.org/0000-0002-6542-6315,FALSE,TRUE
11,A5100694840,Min Yang,317,3489,0.09085697907709946,72182,https://orcid.org/0000-0002-9034-3175,TRUE,FALSE
12,A5043460163,Donald P. McManus,309,854,0.3618266978922717,42872,https://orcid.org/0000-0001-6443-1449,FALSE,TRUE
13,A5100668087,Xiao‐Nong Zhou,303,781,0.3879641485275288,23735,https://orcid.org/0000-0003-1417-8427,FALSE,TRUE
14,A5077501113,Paul Westerhoff,268,623,0.4301765650080257,55797,https://orcid.org/0000-0002-9241-8759,FALSE,TRUE
15,A5069598830,Tinglin Huang,265,677,0.3914327917282127,14372,https://orcid.org/0000-0002-8345-7772,FALSE,TRUE
16,A5084152395,Tahmeed Ahmed,262,889,0.29471316085489313,27506,https://orcid.org/0000-0002-4607-7439,FALSE,TRUE
17,A5059807847,Per Halkjær Nielsen,253,888,0.2849099099099099,48898,https://orcid.org/0000-0002-6402-1877,FALSE,TRUE
18,A5041377151,David A. Sack,247,583,0.4236706689536878,32562,https://orcid.org/0000-0002-9338-5119,FALSE,TRUE
19,A5017813616,Prosun Bhattacharya,246,606,0.40594059405940597,21936,https://orcid.org/0000-0003-4350-9950,FALSE,TRUE
20,A5034386514,James R. Johnson,244,613,0.39804241435562804,33845,https://orcid.org/0000-0002-9588-5045,FALSE,TRUE
21,A5009954391,Zhiguo Yuan,242,908,0.2665198237885463,55154,https://orcid.org/0000-0002-7566-1482,FALSE,TRUE
22,A5033452459,Jennifer Keiser,240,566,0.42402826855123676,28293,https://orcid.org/0000-0003-0290-3521,FALSE,TRUE
23,A5091634624,Oliver Cumming,238,291,0.8178694158075601,12841,https://orcid.org/0000-0002-5074-8709,FALSE,TRUE
24,A5057979719,Miklas Scholz,237,639,0.37089201877934275,15874,https://orcid.org/0000-0001-8919-3838,FALSE,TRUE
