source_id,venue,issn_l,publisher,top_journal,top_publisher,data_citation_score,data_transparency_score,analysis_code_transparency_score,materials_transparency_score,design_analysis_reporting_guidelines_score,study_preregistration_score,analysis_plan_preregistration_score,replication_score,registered_reports_publication_bias_score,open_science_badges_score,top_total,data_transparency_justification,data_citation_justification,top_matched
S2495644771,Journal of Water Sanitation and Hygiene for Development,2043-9083,IWA Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S4210228842,Journal of Water Supply Research and Technology—AQUA,0003-7214,UWA Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S26443501,Journal of Water and Health,1477-8920,UWA Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S124453322,Water Science & Technology Water Supply,1606-9749,IWA Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S137656717,Water Practice & Technology,1751-231X,UWA Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S2764879708,China Water & Wastewater,NA,North China Municipal Engineering Design & Research Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S2764434589,Journal of Water Process Engineering,2214-7144,Elsevier BV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S4210201235,ACS ES&T Water,2690-0637,American Chemical Society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S52566953,Water Research,0043-1354,Elsevier BV,Water Research,Elsevier,1,2,0,0,0,0,0,0,0,0,3,"""This journal requires authors to deposit their research data in a relevant data repository and to
cite and link to this dataset in their article. "" Provides details.","""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,TRUE
S2764931087,Applied Water Science,2190-5487,Springer Nature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S53450646,Water Science & Technology,0273-1223,Pergamon Press,Water Science and Technology,NA,0,0,0,0,0,0,0,0,0,0,0,No mentions.,No mentions.,TRUE
S2764832999,Scientific investigations report,2328-031X,United States Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S130511131,Water Environment Research,0043-1303,Wiley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S134216166,Water,2073-4441,Multidisciplinary Digital Publishing Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S124203677,Desalination and Water Treatment,1944-3986,Taylor & Francis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S86512602,Desalination,0011-9164,Elsevier BV,Desalination,Elsevier,1,0,0,0,0,0,0,0,0,0,1,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""","""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,TRUE
S2764859491,Journal of environmental chemical engineering,2213-2929,Elsevier BV,Journal of Environmental Chemical Engineering,Elsevier,1,0,0,0,0,0,0,0,0,0,1,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""","""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,TRUE
S11732831,Environmental Monitoring and Assessment,0167-6369,Springer Science+Business Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S4210200103,Proceedings of the Water Environment Federation,1938-6478,Water Environment Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S44455300,Journal of Environmental Management,0301-4797,Elsevier BV,Journal of Environmental Management,Elsevier,1,0,0,0,0,0,0,0,0,0,1,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. ""","""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier""",TRUE
S140251998,Journal of Biological Chemistry,0021-9258,Elsevier BV,Journal of Biological Chemistry,Elsevier,0,0,0,0,0,0,0,0,0,0,0,No mentions.,No mentions.,TRUE
S35825460,Journal of Environmental Sciences,1001-0742,Elsevier BV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S86852077,The Science of The Total Environment,0048-9697,Elsevier BV,Science of The Total Environment,Elsevier,1,0,0,0,0,0,0,0,0,0,1,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""","""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,TRUE
S46544255,PLoS neglected tropical diseases,1935-2727,Public Library of Science,PLOS Neglected Tropical Diseases,PLOS,1,2,0,0,2,0,0,0,0,0,5,"""PLOS journals require authors to make all data necessary to replicate their study’s findings publicly available without restriction at the time of publication. When specific legal or ethical restrictions prohibit public sharing of a data set, authors must indicate how others may obtain access to the data.""","""PLOS encourages authors to cite any publicly available research data in their reference list. References to data sets (data citations) must include a persistent identifier (such as a DOI). Citations of data sets, when they appear in the reference list, should include the minimum information recommended by DataCite and follow journal style.""",TRUE
S69753523,Separation and Purification Technology,1383-5866,Elsevier BV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
S87561820,Environmental Science and Pollution Research,0944-1344,Springer Science+Business Media,Environmental Science and Pollution Research,Springer,1,0,0,0,0,0,0,0,0,0,1,"""Data sharing and data citation is encouraged""","""Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list.""",TRUE
