source_id,venue,source_type,matched_works,rank_matched,researcher_works,rank_researcher,venue_total_works,is_candidate
S4306525036,PubMed,repository,30420,1,1386,8,8038081,FALSE
S52566953,Water Research,journal,9629,12,3285,1,31611,TRUE
S4306400562,Zenodo (CERN European Organization for Nuclear Research),repository,25530,2,359,36,12656832,FALSE
S2738498342,EFSA Journal,journal,NA,NA,2459,2,9327,TRUE
S4210172589,SSRN Electronic Journal,repository,25162,3,1248,11,1644009,FALSE
S86852077,The Science of The Total Environment,journal,11303,8,1863,3,83936,TRUE
S4377196282,Figshare,repository,20483,4,679,18,8663536,FALSE
S13479253,Environmental Science & Technology,journal,6531,20,1858,4,70421,TRUE
S140251998,Journal of Biological Chemistry,journal,20002,5,NA,NA,214122,TRUE
S4210170078,Oncology Times,journal,1791,80,1525,5,14301,TRUE
S4306401280,DOAJ (DOAJ: Directory of Open Access Journals),repository,14306,6,161,87,2232416,FALSE
S21442059,Bioresource Technology,journal,3837,36,1486,6,35530,TRUE
S4306525896,Research Square,repository,14070,7,438,29,474662,FALSE
S149937609,Chemical Engineering Journal,journal,6716,19,1472,7,77381,TRUE
S200071133,Blood,journal,10210,9,802,15,197721,TRUE
S53450646,Water Science & Technology,journal,8309,17,1342,9,29752,TRUE
S168522863,Cancer Research,journal,9715,10,84,161,159450,TRUE
S203465130,Chemosphere,journal,5733,24,1264,10,51194,TRUE
S202381698,PLoS ONE,journal,9663,11,566,20,342054,TRUE
S4306463230,Elsevier eBooks,ebook platform,9477,13,1123,12,1195001,FALSE
S145089992,Journal of Hazardous Materials,journal,4701,29,1064,13,43126,TRUE
S4306402567,bioRxiv (Cold Spring Harbor Laboratory),repository,9318,14,532,23,337935,FALSE
S4306400478,Ghent University Academic Bibliography (Ghent University),repository,NA,NA,1026,14,203072,FALSE
S4306402641,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),repository,8568,15,NA,NA,2533457,FALSE
S134216166,Water,journal,8550,16,396,31,32158,TRUE
S69753523,Separation and Purification Technology,journal,4279,32,722,16,31055,TRUE
S86512602,Desalination,journal,3670,38,720,17,21035,TRUE
S196734849,Scientific Reports,journal,8296,18,383,32,305072,TRUE
S46544255,PLoS neglected tropical diseases,journal,1900,73,649,19,13478,TRUE
S87561820,Environmental Science and Pollution Research,journal,6385,21,529,24,48867,TRUE
S3005729997,medRxiv,repository,2216,65,551,21,85190,FALSE
S119469986,Journal of Membrane Science,journal,1867,76,551,21,26837,TRUE
S4210195883,IOP Conference Series Earth and Environmental Science,conference,6287,22,NA,NA,123923,FALSE
