block,keyword,note
core,water sanitation and hygiene,umbrella term
core,WASH,acronym; high recall low precision use with venue filter
core,water supply,
core,drinking water,
core,water quality,
core,water safety plan,
core,water treatment,
core,household water treatment,
core,point-of-use treatment,
core,water security,
core,water scarcity,
core,rural water supply,
core,water point,
core,borehole,
core,water kiosk,
sanitation,sanitation,
sanitation,safely managed sanitation,
sanitation,on-site sanitation,
sanitation,onsite sanitation,
sanitation,latrine,
sanitation,pit latrine,
sanitation,container-based sanitation,
sanitation,open defecation,
sanitation,sewerage,
sanitation,wastewater treatment,
sanitation,excreta,
fsm,faecal sludge management,British spelling
fsm,fecal sludge management,American spelling
fsm,faecal sludge,
fsm,fecal sludge,
fsm,pit emptying,
fsm,pit latrine emptying,
fsm,sludge dewatering,
fsm,drying bed,
fsm,co-treatment,co-treatment of faecal sludge
fsm,resource recovery from excreta,
fsm,struvite,nutrient recovery
fsm,urine diversion,
fsm,sludge treatment,
hygiene,handwashing,
hygiene,hand hygiene,
hygiene,hygiene behaviour,
hygiene,hygiene behavior,
hygiene,menstrual hygiene,
hygiene,menstrual health,
contamination,faecal contamination,
contamination,fecal contamination,
contamination,E. coli,indicator organism; needs venue filter
contamination,groundwater contamination,
contamination,greywater,
contamination,water reuse,
health,diarrhoeal disease,
health,diarrheal disease,
health,cholera,
health,schistosomiasis,
health,soil-transmitted helminth,
health,environmental enteric dysfunction,
policy,SDG 6,Sustainable Development Goal 6
policy,JMP,WHO/UNICEF Joint Monitoring Programme
