paperid,volume,issue,first_author_affiliation,correspondence_author_affiliation
28742,1,1,"Journal of Water, Sanitation and Hygiene for Development",NA
28811,2,1,Freelance Consultant,"Research Associate, Water, Engineering and Development Centre (WEDC), Loughborough University, Loughborough, UK"
30292,3,2,Consultant in Water and Sanitation,Consultant in Water and Sanitation
30121,6,2,UNICEF (formerly World Bank),NA
30123,6,3,Institute for Public Health and Environmental Engineering,Institute for Public Health and Environmental Engineering
38055,7,4,School of Economic Sciences,School of Economic Sciences
38050,7,4,Department of Civil and Environmental Engineering,Department of Civil Engineering
38049,7,4,Department of Civil Engineering,Department of Civil Engineering
38047,7,4,Department of Architecture and Regional Planning,Department of Architecture and Regional Planning
38058,7,4,Department of Civil & Environment Engineering #35-518,"Sustainable Management of Natural Resources and Environment Research Group, Faculty of Environment and Labour Safety"
38057,7,4,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention
39045,8,2,Department of Environmental Health and Sanitation Education,Department of Environmental Health and Sanitation Education
39036,8,2,School of Civil Engineering,School of Civil Engineering
39053,8,2,Lyon,UNICEF
39026,8,2,Department of Civil Engineering,Department of Civil Engineering
39038,8,2,Department of Civil Engineering,Department of Civil Engineering
39032,8,2,Institute for Sustainable Futures,Institute for Sustainable Futures
39031,8,2,"Ministry of Health, Community Development, Gender, Elderly and Children","Department of Mathematics, Informatics and Computational Sciences, Solomon Mahlangu College of Science and Education"
39040,8,2,"Community Water and Sanitation Agency, Head Office, PMB-KIA","Community Water and Sanitation Agency, Head Office, PMB-KIA"
39035,8,2,UNICEF – Ethiopia,Department of Environmental and Occupational Health and Safety
39037,8,2,"Department of Environmental Health Engineering, Faculty of Health","Department of Environmental Health Engineering, Faculty of Health"
39051,8,2,"Faculty of Agriculture, Department of Agricultural Economics","Faculty of Agriculture, Department of Agricultural Economics"
39050,8,2,Escuela de Ingeniería en Construcción,Escuela de Ingeniería en Construcción
74015,10,2,"International Master Degree on Energy Engineering, National Cheng Kung University, Tainan 700, Taiwan","Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan 700, Taiwan"
103258,14,8,"Department of Environmental Health, Kinshasa School of Public Health, University of Kinshasa, The Democratic Republic Of The Congo","Department of Environmental Health, Kinshasa School of Public Health, University of Kinshasa, The Democratic Republic Of The Congo"
103538,14,8,"Department of Civil and Environmental Engineering, University of Strathclyde, Glasgow UK","Department of Civil and Environmental Engineering, University of Strathclyde, Glasgow UK"
105387,14,11,"Department of Economics, Krishnagar Government College, Krishnagar, Nadia, West Bengal 741101","Department of Economics, University of Calcutta, Kolkata, West Bengal 700050"
105560,14,12,"Foreign Policy Institute, Johns Hopkins University, 555 Pennsylvania Avenue NW. Washington, DC 20001","Foreign Policy Institute, Johns Hopkins University, 555 Pennsylvania Avenue NW. Washington, DC 20001"
106403,15,1,"Division of Medical Safety and Risk Management, National Center for Global Health and Medicine, 1-21-1, Toyama, Shinjuku-ku, Tokyo, Japan, 162-8655","Division of Medical Safety and Risk Management, National Center for Global Health and Medicine, 1-21-1, Toyama, Shinjuku-ku, Tokyo, Japan, 162-8655"
107555,15,3,"School of Architecture and Environment, University of the West of England, Bristol, UKE-mail: Helen.Underhill@uwe.ac.uk",NA
107879,15,5,"Propel Manila, Penthouse B, PDCP Bank Center Building, V.A. Rufino St, Makati City, 1227 Metro Manila, the Philippines","Propel Manila, Penthouse B, PDCP Bank Center Building, V.A. Rufino St, Makati City, 1227 Metro Manila, the Philippines"
108230,15,6,"Centre for Sustainable Development, School of Politics and International Relations, University College Dublin, Ireland.","Centre for Sustainable Development, School of Politics and International Relations, University College Dublin, Ireland."
109017,15,9,"Faculty of Health Sciences, Durban University of Technology. P O Box 1334, Durban, 4001 South Africa","Faculty of Health Sciences, Durban University of Technology. P O Box 1334, Durban, 4001 South Africa"
