paperid,volume,issue,das_type
98803,13,12,NA
98841,13,12,NA
99077,13,12,NA
99074,13,12,NA
98932,13,12,NA
99204,13,12,NA
99226,13,12,NA
99802,14,1,The repository links are available at: NFHS: https://dhsprogram.com/data/; NSSO: http://mospi.gov.in/; IHDS: https://www.icpsr.umich.edu/; UDISE: http://udise.in/; UDISE Plus: https://udiseplus.gov.in/#/home.
105669,14,11,Data is available for access upon reasonable request.
107295,15,3,"We encourage all authors of articles published in MDPI journals to share their research data. In this section, please provide details regarding where data supporting reported results can be found, including links to publicly archived datasets analysed or generated during the study. Where no new data were created, or where data are unavailable due to privacy or ethical restrictions, a statement is still required. Suggested Data Availability Statements are available in section ‘MDPI Research Data Policies’ at https://www.mdpi.com/ethics."
107910,15,5,All the relevant data for the research is provided as supplementary material.
110627,16,1,"The sequencing datasets from this study are publicly available in the NCBI Sequence Read Archive (SRA), BioProject ID: PRJNA1181577. https://dataview.ncbi.nlm.nih.gov/object/PRJNA1181577?reviewer=nfq2mho30umld4hmmt75qpukg4."
111441,16,4,The datasets generated and/or analysed during the current study are not publicly available due to ethical and confidentiality considerations but are available from the corresponding author on reasonable request.
111764,16,5,All dataset used for supporting the conclusion of this article are available from the corresponding authors upon request.
