paperid,doi
28742,10.2166/washdev.2011.0001
28745,10.2166/washdev.2011.014
28743,10.2166/washdev.2011.001
28744,10.2166/washdev.2011.015
28746,10.2166/washdev.2011.022
28747,10.2166/washdev.2011.027
28748,10.2166/washdev.2011.026
28772,10.2166/washdev.2011.046
28767,10.2166/washdev.2011.037
28768,10.2166/washdev.2011.043
28769,10.2166/washdev.2011.033
28770,10.2166/washdev.2011.101
28771,10.2166/washdev.2011.025
28774,10.2166/washdev.2011.049
28775,10.2166/washdev.2011.030
28776,10.2166/washdev.2011.024
28777,10.2166/washdev.2011.041
28778,10.2166/washdev.2011.032
28779,10.2166/washdev.2011.042
28800,10.2166/washdev.2011.016
28801,10.2166/washdev.2011.127
28802,10.2166/washdev.2011.058
28803,10.2166/washdev.2011.002
28804,10.2166/washdev.2011.003
28805,10.2166/washdev.2011.028
28806,10.2166/washdev.2012.055
28807,10.2166/washdev.2012.029
28808,10.2166/washdev.2012.056
28809,10.2166/washdev.2012.068
28810,10.2166/washdev.2012.038
28811,10.2166/washdev.2012.067
30016,10.2166/washdev.2012.072
30017,10.2166/washdev.2012.093
30018,10.2166/washdev.2012.059
30019,10.2166/washdev.2012.043
30020,10.2166/washdev.2012.039
30013,10.2166/washdev.2012.079
30014,10.2166/washdev.2012.090
30015,10.2166/washdev.2012.021
30021,10.2166/washdev.2012.047
30022,10.2166/washdev.2012.054
30023,10.2166/washdev.2012.077
30024,10.2166/washdev.2012.073
30025,10.2166/washdev.2012.078
30026,10.2166/washdev.2012.106
30027,10.2166/washdev.2012.074
30028,10.2166/washdev.2012.005
29805,10.2166/washdev.2012.104
29806,10.2166/washdev.2012.102
29807,10.2166/washdev.2012.028
29808,10.2166/washdev.2012.065
29809,10.2166/washdev.2012.014
29810,10.2166/washdev.2012.062
29811,10.2166/washdev.2012.007
30031,10.2166/washdev.2013.099
30032,10.2166/washdev.2013.017
30033,10.2166/washdev.2013.035
30034,10.2166/washdev.2013.030
30035,10.2166/washdev.2013.110
30036,10.2166/washdev.2013.092
30037,10.2166/washdev.2013.033
30038,10.2166/washdev.2013.015
30039,10.2166/washdev.2013.022
30298,10.2166/washdev.2013.113
30300,10.2166/washdev.2013.147
30280,10.2166/washdev.2013.138
30281,10.2166/washdev.2013.053
30282,10.2166/washdev.2013.098
30283,10.2166/washdev.2013.042
30284,10.2166/washdev.2013.109
30285,10.2166/washdev.2013.009
30286,10.2166/washdev.2013.064
30287,10.2166/washdev.2013.174
30288,10.2166/washdev.2013.050
30289,10.2166/washdev.2013.080
30290,10.2166/washdev.2013.061
30291,10.2166/washdev.2013.156
30292,10.2166/washdev.2013.143
30293,10.2166/washdev.2013.044
30294,10.2166/washdev.2013.154
30295,10.2166/washdev.2013.178
30296,10.2166/washdev.2013.045
30297,10.2166/washdev.2013.046
30301,10.2166/washdev.2013.101
30302,10.2166/washdev.2013.090
30303,10.2166/washdev.2013.059
30304,10.2166/washdev.2013.067
30305,10.2166/washdev.2013.031
30306,10.2166/washdev.2013.198
30307,10.2166/washdev.2013.106
30308,10.2166/washdev.2013.084
30309,10.2166/washdev.2013.063
30311,10.2166/washdev.2013.023
30313,10.2166/washdev.2013.117
30315,10.2166/washdev.2013.120
30317,10.2166/washdev.2013.105
30319,10.2166/washdev.2013.128
30321,10.2166/washdev.2013.008
30322,10.2166/washdev.2013.114
30324,10.2166/washdev.2013.058
30326,10.2166/washdev.2013.007
30328,10.2166/washdev.2013.085
30330,10.2166/washdev.2013.107
30310,10.2166/washdev.2013.054
30312,10.2166/washdev.2013.134
30314,10.2166/washdev.2013.136
30316,10.2166/washdev.2013.016
30318,10.2166/washdev.2013.126
30320,10.2166/washdev.2013.068
30323,10.2166/washdev.2013.139
30325,10.2166/washdev.2013.001
30327,10.2166/washdev.2013.083
30329,10.2166/washdev.2013.209
30331,10.2166/washdev.2013.238
30332,10.2166/washdev.2013.144
30333,10.2166/washdev.2013.036
30334,10.2166/washdev.2013.217
30335,10.2166/washdev.2013.066
30336,10.2166/washdev.2013.168
30337,10.2166/washdev.2013.309
30338,10.2166/washdev.2013.071
30339,10.2166/washdev.2013.115
30341,10.2166/washdev.2013.125
30344,10.2166/washdev.2013.145
30340,10.2166/washdev.2013.164
30348,10.2166/washdev.2013.185
30354,10.2166/washdev.2013.158
30355,10.2166/washdev.2013.027
30356,10.2166/washdev.2013.140
30357,10.2166/washdev.2013.166
30358,10.2166/washdev.2013.070
30359,10.2166/washdev.2013.183
30361,10.2166/washdev.2013.190
30363,10.2166/washdev.2013.130
30342,10.2166/washdev.2014.094
30343,10.2166/washdev.2013.069
30345,10.2166/washdev.2013.060
30346,10.2166/washdev.2013.180
30347,10.2166/washdev.2013.013
30349,10.2166/washdev.2013.135
30350,10.2166/washdev.2013.089
30351,10.2166/washdev.2013.131
30352,10.2166/washdev.2013.159
30353,10.2166/washdev.2013.041
30360,10.2166/washdev.2014.126
30362,10.2166/washdev.2014.025
30364,10.2166/washdev.2013.171
30365,10.2166/washdev.2014.114
30366,10.2166/washdev.2013.055
30367,10.2166/washdev.2014.107
30368,10.2166/washdev.2014.119
30369,10.2166/washdev.2014.084
30370,10.2166/washdev.2014.147
30371,10.2166/washdev.2014.131
30372,10.2166/washdev.2013.065
30373,10.2166/washdev.2014.111
30374,10.2166/washdev.2014.125
30375,10.2166/washdev.2014.087
30376,10.2166/washdev.2014.109
30377,10.2166/washdev.2013.201
30040,10.2166/washdev.2014.003
30041,10.2166/washdev.2014.081
30042,10.2166/washdev.2014.152
30043,10.2166/washdev.2014.139
30044,10.2166/washdev.2014.105
30045,10.2166/washdev.2014.051
30046,10.2166/washdev.2014.122
30047,10.2166/washdev.2014.145
30049,10.2166/washdev.2014.073
30050,10.2166/washdev.2013.240
30051,10.2166/washdev.2014.138
30052,10.2166/washdev.2014.136
30053,10.2166/washdev.2014.118
30054,10.2166/washdev.2014.088
30055,10.2166/washdev.2013.011
30056,10.2166/washdev.2014.113
30057,10.2166/washdev.2014.129
30058,10.2166/washdev.2014.150
30059,10.2166/washdev.2014.137
30060,10.2166/washdev.2014.159
