paperid,volume,issue,title
30095,5,2,"A review of: Fouling in hollow fiber membrane microfilters used for household water treatment (2015) Murray, A., Goeb, M., Stewart, B., Hopper, C., Peck, J., Meub, C., Asatekin, A. & Lantagne, D. J. WASHDEV 5 (2), 220–228 doi:10.2166/washdev.2015.206"
30096,5,2,"Response to: Lindquist, E. D., Norman, W. R., & Soerens, T. (2015) A review of: Fouling in hollow fiber membrane microfilters used for household water treatment (2015) Murray, A., Goeb, M., Stewart, B., Hopper, C., Peck, J., Meub, C., Asatekin, A. & Lantagne, D. J. WASHDEV 5 (2), 220–228 doi:10.2166/washdev.2015.206"
68104,9,3,Efficacy of integrated ultraviolet ultrasonic technologies in the removal of erythromycin- and quinolone-resistant Escherichia coli from domestic wastewater through a laboratory-based experiment
72560,10,2,Performance evaluation of combined ultraviolet-ultrasonic technologies in removal of sulfonamide and tetracycline resistant Escherichia coli from domestic effluents
75543,10,3,Deactivation of Ascaris suum eggs using electroporation and sequential inactivation with chemical disinfection
77998,10,4,‘Solar septic tank’: evaluation of innovative decentralized treatment of blackwater in developing countries
77909,10,4,Myth and reality of community ownership and control of community-managed piped water systems in Ghana
76327,10,4,Chlorine disinfection against Legionella pneumophila biofilms
77473,10,4,"On-site sanitation density and groundwater quality: evidence from remote sensing and in situ observations in the Thiaroye aquifer, Senegal"
76254,10,4,Fertilizer effect of composted sewage sludge and cattle manure on Pelargonium growth
76082,10,4,Impact of alum pretreatment on biosand filter performance: a commentary on Curry et al. (2020)
76175,10,4,Impact of alum pretreatment on biosand filter performance: reply to Dorea's commentary on Curry et al. (2020) article
80857,11,3,"Methods for estimating quantities and qualities (Q&Q) of faecal sludge: field evaluation in Sircilla, India"
81860,11,4,"Risk of adenovirus and Cryptosporidium ingestion to sanitation workers in a municipal scale non-sewered sanitation process: a case study from Kigali, Rwanda"
81498,11,4,Treatment of drinking water for rural households using Moringa seed and solar disinfection
82423,11,4,"Drinking water quality, exposure and health risk assessment for the school-going children at school time in the southwest coastal of Bangladesh"
83237,11,5,Effect of fecal matter co-digestion with kitchen waste on Hermetia illucens’ larval weight and protein content
83132,11,5,"Predominance of blaTEM and tetA genes in antibiotic-resistant Escherichia coli isolates from Laguna Lake, Philippines"
84795,11,6,Research progress on the contamination status and control policy of Giardia and Cryptosporidium in drinking water
84675,11,6,Effect of single and combined exposures to UV-C and UV-A LEDs on the inactivation of Klebsiella pneumoniae and Escherichia coli in water disinfection
86152,12,1,The sanitation arc: an alternative examination of WASH behavior change
86035,12,1,In situ treatment technologies for pit latrines to mitigate groundwater contamination by fecal pathogens: a review of recent technical advances
86190,12,1,"Corrigendum: Journal of Water, Sanitation and Hygiene for Development 9 (3), 571–580: Efficacy of integrated ultraviolet ultrasonic technologies in the removal of erythromycin- and quinolone-resistant Escherichia coli from domestic wastewater through a laboratory-based experiment, Owassa Dza Rebecca Annisha, Zifu Li, Xiaoqin Zhou, Ngomah Madgil Don Stenay Junior and Oscar Omondi Donde, https://doi.org/10.2166/washdev.2019.021"
86189,12,1,"Corrigendum: Journal of Water, Sanitation and Hygiene for Development 10 (2), 276–285: Performance evaluation of combined ultraviolet-ultrasonic technologies in removal of sulfonamide and tetracycline resistant Escherichia coli from domestic effluents, Owassa Dza Rebecca Annisha, Zifu Li, Xiaoqin Zhou, Ngomah Madgil Don Stenay, Jr. and Oscar Omondi Donde, https://doi.org/10.2166/washdev.2020.144"
88775,12,6,A de jure study of social accountability for water and sanitation services in Uganda
88924,12,6,Direct centrifugation for detecting Giardia spp. cysts in filter backwash water
90182,12,8,Regression models for predicting the die-off rate of E. coli in solar water disinfection
90784,12,9,Effects of Moringa oleifera seeds on the physicochemical properties and microbiological quality of borehole water from Botswana
92016,12,12,Prevalence of multidrug-resistant Escherichia coli in household drinking water in rural Ghana
96121,13,7,"Corrigendum: Journal of Water, Sanitation and Hygiene for Development 1 January 2022; 12 (1): 129–140: Factors influencing physicochemical characteristics of faecal sludge in Phnom Penh, Cambodia, Chea Eliyan, Björn Vinnerås, Christian Zurbrügg, Thammarat Koottatep, Kok Sothea, Jennifer McConville"
97035,13,9,Characterizing modern bathrooms to support sanitation adoption
97311,13,9,Aluminum foil immersed in alkalized seawater removes Escherichia coli from household drinking water
97441,13,10,Potential of waterbodies as a reservoir of Escherichia coli pathogens and the spread of antibiotic resistance in the Indonesian aquatic environment
98804,13,11,"‘We do not wash hands’: Barriers to the maintenance of five moments of hand hygiene among learner nurses at a university in Limpopo province, South Africa"
98258,13,11,Occurrence of Acanthamoeba spp. in a major river in the Philippines: Impact on water quality and health
