paperid,volume,issue,first_author_affiliation,correspondence_author_affiliation
25410,1,1,"Cooperative Research Centre for Water Quality and Treatment, Salisbury, South Australia",NA
25434,1,1,"Institute of Sanitary Engineering and Waste Management, University of Hannover, Welfengarten 1, D-30167 Hannover",NA
25437,1,1,"Istanbul Technical University, Mining Engineering Department, Ayazaga 80626 Istanbul-Turkey",NA
25439,1,1,"Department of Environmental Engineering and Health, Chia-Nan College of Pharmacy and Science, Tainan, Taiwan",NA
25466,1,2,"Department of Analytical Chemistry, Slovak University of Technology, Radlinskeho 9, SK-81237 Bratislava, Slovakia. (E-mail:","Department of Analytical Chemistry, Slovak University of Technology, Radlinskeho 9, SK-81237 Bratislava, Slovakia. (E-mail:"
25488,1,2,"Concordia University, Department of Building, Civil and Environmental Engineering, 1455 Blvd de Maisonneuve West, Montreal, Quebec, Canada, H3G 1M8","Concordia University, Department of Building, Civil and Environmental Engineering, 1455 Blvd de Maisonneuve West, Montreal, Quebec, Canada, H3G 1M8"
25499,1,2,INTEC (Universidad Nacional del Litoral – CONICET). Güemes 3450 (3000) Santa Fe,INTEC (Universidad Nacional del Litoral – CONICET). Güemes 3450 (3000) Santa Fe
25506,1,2,"Hydro- and Environmental Engineering Faculty Technical University of Gdańsk, G.Narutowicza 11/12 80-952 Gdańsk, Poland. e-mail:","Hydro- and Environmental Engineering Faculty Technical University of Gdańsk, G.Narutowicza 11/12 80-952 Gdańsk, Poland. e-mail:"
25509,1,2,"University of Leuven, Department of Chemical Engineering, Laboratory for Environmental Technology, W. de Croylaan 46, 3001 Heverlee – Belgium","University of Leuven, Department of Chemical Engineering, Laboratory for Environmental Technology, W. de Croylaan 46, 3001 Heverlee – Belgium"
25462,1,2,"Hydro- and Environmental Engineering Faculty, Technical University of Gdansk, Narutowicza 11/12, 80-952 Gdańsk, Poland, (e-mail:","Hydro- and Environmental Engineering Faculty, Technical University of Gdansk, Narutowicza 11/12, 80-952 Gdańsk, Poland, (e-mail:"
25484,1,2,"Environmental Engineering Program, Department of Civil and Environmental Engineering, 304",NA
25452,1,3,"Kiwa N.V. Research and Consultancy, PO Box 1072, 3430 BB Nieuwegein, The Netherlands; E-mail:","Kiwa N.V. Research and Consultancy, PO Box 1072, 3430 BB Nieuwegein, The Netherlands; E-mail:"
25503,1,4,"Ecole Polytechnique de Montreal, NSERC Industrial Chair on Drinking Water, Civil Geological and Mining Engineering, CP 6079, Succ. centre-ville, Montreal (Quebec), Canada, H3C 3A7",NA
25511,1,4,"Department of Environmental Engineering, Sangmyung University, San 98-20, Chonan Korea",NA
25521,1,5-6,"Applications and Process Manager, USF Memcor, Sydney, Australia. Tel: +61 245776800. E-mail:","Applications and Process Manager, USF Memcor, Sydney, Australia. Tel: +61 245776800. E-mail:"
25598,1,5-6,"Department of Civil Engineering, Gifu University, Yanagido 1-1, Gifu 501-1193 Japan E-mail:","Department of Civil Engineering, Gifu University, Yanagido 1-1, Gifu 501-1193 Japan E-mail:"
25600,1,5-6,"Department of Civil Engineering, National Taipei University of Technology, 1, Sec. 3, Chung Hsiao E. Rd, Taipei, 106, Chinese Taiwan",NA
25601,1,5-6,"West of Scotland Water, West of Scotland Science Park, Thompson Pavilion, Acre Road, Glasgow G20 0XA. UK. E-mail:","West of Scotland Water, West of Scotland Science Park, Thompson Pavilion, Acre Road, Glasgow G20 0XA. UK. E-mail:"
25523,1,5-6,"Casali Institute of Applied Chemistry, The Hebrew University of Jerusalem, 91904 Jerusalem, Israel.","Casali Institute of Applied Chemistry, The Hebrew University of Jerusalem, 91904 Jerusalem, Israel."
25525,1,5-6,"Department of Chemical and Environmental Engineering, National University of Singapore, 10 Kent Ridge Crescent, Singapore 119260","Department of Chemical and Environmental Engineering, National University of Singapore, 10 Kent Ridge Crescent, Singapore 119260"
25528,1,5-6,"Department of Urban and Environmental Engineering, Hokkaido Univ., N13W8, Sapporo 060-8628, Japan. E-mail:","Department of Urban and Environmental Engineering, Hokkaido Univ., N13W8, Sapporo 060-8628, Japan. E-mail:"
25529,1,5-6,"Industrial Membranes Development Department, Asahi Chemical Industries Co. Ltd., 2-1, Samejima, Fuji, Shizuoka, 416-8501 Japan","Industrial Membranes Development Department, Asahi Chemical Industries Co. Ltd., 2-1, Samejima, Fuji, Shizuoka, 416-8501 Japan"
25534,1,5-6,"Institute of polymer science, Zhejiang University, YuGu Road, 310027, Hangzhou, P.R.China E-mail: ) Corresponding author; E-mail:","Institute of polymer science, Zhejiang University, YuGu Road, 310027, Hangzhou, P.R.China E-mail: ) Corresponding author; E-mail:"
25537,1,5-6,"Institute of Polymer Science, Zhejiang University, 310027, Hangzhou, P. R. China","Institute of Polymer Science, Zhejiang University, 310027, Hangzhou, P. R. China"
25540,1,5-6,"Laboratory and Research Center, The Macao Water Supply Co. Ltd. (SAAM) 718, Avenida do Conselheiro Borja Macau, China. E-mail:","Laboratory and Research Center, The Macao Water Supply Co. Ltd. (SAAM) 718, Avenida do Conselheiro Borja Macau, China. E-mail:"
25542,1,5-6,"Institut für Verfahrenstechnik, Rheinisch-Westfälisch Technische Hochschule Aachen, Turmstraße 46, 52062 Aachen","Institut für Verfahrenstechnik, Rheinisch-Westfälisch Technische Hochschule Aachen, Turmstraße 46, 52062 Aachen"
25550,1,5-6,"Zenon Environmental Systems Inc., Burlington, Ontario",NA
25553,1,5-6,"Department of Water Supply Engineering, National Institute of Public Health, 4-6-1 Shirokanedai, Minato-ku, 108-8638 Japan. E-mail:","Department of Water Supply Engineering, National Institute of Public Health, 4-6-1 Shirokanedai, Minato-ku, 108-8638 Japan. E-mail:"
25556,1,5-6,"Research Development Department, Maezawa Industries, INC. 5-11 Nakachuo, Kawaguchi, Saitama, 332-8556 Japan","Research Development Department, Maezawa Industries, INC. 5-11 Nakachuo, Kawaguchi, Saitama, 332-8556 Japan"
25561,1,5-6,"N.V. PWN Water Supply Company North Holland, PO Box 2113, 1990 AC Velserbroek, The Netherlands. E-mail:","N.V. PWN Water Supply Company North Holland, PO Box 2113, 1990 AC Velserbroek, The Netherlands. E-mail:"
25563,1,5-6,"Hach Company, 5600 Lindbergh Drive, Loveland, Colorado. E-mail:","Hach Company, 5600 Lindbergh Drive, Loveland, Colorado. E-mail:"
25566,1,5-6,"IWW Rheinisch-Westfaelisches Institut fur Wasserforschung gemeinnuetzige GmbH, Institut an der Gerhard-Mercator-Universitaet Duisburg, Moritzstr. 26; 45476 Muelheim/R","IWW Rheinisch-Westfaelisches Institut fur Wasserforschung gemeinnuetzige GmbH, Institut an der Gerhard-Mercator-Universitaet Duisburg, Moritzstr. 26; 45476 Muelheim/R"
