paperid,volume,issue,paper_url,journal,title,published_year,is_supp,num_supp,supp_file_type,supp_url,num_authors,first_author_name,first_author_affiliation,first_author_affiliation_country,first_author_orcid,correspondence_author_name,correspondence_author_affiliation,correspondence_author_affiliation_country,correspondence_author_orcid,has_das,das,das_type,das_repo_url,keywords,doi,url_source
1786,1,1,https://iwaponline.com/jwh/article/1/1/1/1786/Editorial,Journal of Water and Health,Editorial,2003,FALSE,0,NA,NA,1,Joan Jofre,"Health Related Water Microbiology Specialist Group, International Water Association",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,10.2166/wh.2003.0001,iwaponline.com
1789,1,1,https://iwaponline.com/jwh/article/1/1/3/1789/The-potential-for-health-risks-from-intrusion-of,Journal of Water and Health,The potential for health risks from intrusion of contaminants into the distribution system from pressure transients,2003,FALSE,0,NA,NA,5,Mark W. LeChevallier,"American Water, 1025 Laurel Oak Rd, PO Box 1770, Voorhees, NJ 08043, USA",United States of America,NA,Mark W. LeChevallier,"American Water, 1025 Laurel Oak Rd, PO Box 1770, Voorhees, NJ 08043, USA",United States of America,NA,FALSE,NA,NA,NA,contamination; distribution system; hydraulic surge; intrusion; pressure; viruses,10.2166/wh.2003.0002,iwaponline.com
1787,1,1,https://iwaponline.com/jwh/article/1/1/15/1787/A-novel-technology-to-improve-drinking-water,Journal of Water and Health,A novel technology to improve drinking water quality: a microbiological evaluation of in-home flocculation and chlorination in rural Guatemala,2003,FALSE,0,NA,NA,5,Josefa M. Rangel,"Foodborne and Diarrheal Diseases Branch, Mailstop A38, Division of Bacterial and Mycotic Diseases, National Center for Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, GA, 30333, USA",United States of America,NA,Stephen Luby,"Foodborne and Diarrheal Diseases Branch, Mailstop A38, Division of Bacterial and Mycotic Diseases, National Center for Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, GA, 30333, USA",United States of America,NA,FALSE,NA,NA,NA,chlorine; flocculant; Guatemala; water microbiology; water purification; water storage,10.2166/wh.2003.0003,iwaponline.com
1788,1,1,https://iwaponline.com/jwh/article/1/1/23/1788/Storm-effects-on-regional-beach-water-quality,Journal of Water and Health,Storm effects on regional beach water quality along the southern California shoreline,2003,FALSE,0,NA,NA,7,Rachel T. Noble,"UNC at Chapel Hill, Institute of Marine Sciences, 3431 Arendell St., Morehead City, NC 28557, USA",United States of America,NA,Rachel T. Noble,"UNC at Chapel Hill, Institute of Marine Sciences, 3431 Arendell St., Morehead City, NC 28557, USA",United States of America,NA,FALSE,NA,NA,NA,coliform; enterococcus; indicator bacteria; runoff; stormwater,10.2166/wh.2003.0004,iwaponline.com
1790,1,1,https://iwaponline.com/jwh/article/1/1/33/1790/Fate-of-effluent-organic-matter-during-soil,Journal of Water and Health,"Fate of effluent organic matter during soil aquifer treatment: biodegradability, chlorine reactivity and genotoxicity",2003,FALSE,0,NA,NA,6,David M. Quanrud,"Department of Civil Engineering and Engineering Mechanics, The University of Arizona, Tucson, Arizona 85721, USA",United States of America,NA,David M. Quanrud,"Department of Civil Engineering and Engineering Mechanics, The University of Arizona, Tucson, Arizona 85721, USA",United States of America,NA,FALSE,NA,NA,NA,effluent organic matter; genotoxicity; secondary effluent; soil aquifer treatment; trihalomethanes,10.2166/wh.2003.0005,iwaponline.com
1791,1,1,https://iwaponline.com/jwh/article/1/1/45/1791/A-large-cholera-outbreak-in-Kano-City-Nigeria-the,Journal of Water and Health,"A large cholera outbreak in Kano City, Nigeria: the importance of hand washing with soap and the danger of street-vended water",2003,FALSE,0,NA,NA,3,Yvan Hutin,"WHO, Avenue Appia 20, CH 1222, Geneva 27, Switzerland Tel.: +41 (22) 791 3431 Fax: +41 (22) 791 4836 E-mail:",NA,NA,Yvan Hutin,"WHO, Avenue Appia 20, CH 1222, Geneva 27, Switzerland Tel.: +41 (22) 791 3431 Fax: +41 (22) 791 4836 E-mail:",NA,NA,FALSE,NA,NA,NA,case control studies; cholera; disease outbreaks; hand hygiene; waterborne diseases,10.2166/wh.2003.0006,iwaponline.com
112095,24,6,https://iwaponline.com/jwh/article/24/6/709/112095/Latrine-surface-contamination-and-hygiene,Journal of Water and Health,Latrine surface contamination and hygiene practices in rural Nepal: implications for diarrhoeal diseases and urinary tract infections,2026,TRUE,1,docx,https://doi.org/10.2166/wh.2026.136,5,Sabita Adhikari,"School of Civil Engineering, The University of Sydney, Sydney, Australia",Australia,https://orcid.org/0000-0001-6388-6644,Sabita Adhikari,"School of Civil Engineering, The University of Sydney, Sydney, Australia",Australia,https://orcid.org/0000-0001-6388-6644,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,anal cleansing; faecal contamination; pour-flush latrine; sustainable development goal 6; urinary tract infection,10.2166/wh.2026.136,iwaponline.com
112116,24,6,https://iwaponline.com/jwh/article/24/6/729/112116/Aquatic-bacterial-and-antimicrobial-resistance,Journal of Water and Health,Aquatic bacterial and antimicrobial resistance profile at different fish farms in Accra,2026,FALSE,0,NA,NA,7,Frances N. N. Nathan-Mensah,"Dr Hilla Limann Technical University, Upper West Region, WA, Ghana",Ghana,https://orcid.org/0009-0000-3812-7961,Emmanuel U. Osisiogu,"Department of Animal Health, Council for Scientific and Industrial Research, Accra, Ghana",Ghana,https://orcid.org/0000-0003-3781-5492,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,antimicrobial resistance; aquaculture; Ghana; multidrug resistance; One Health,10.2166/wh.2026.190,iwaponline.com
112069,24,6,https://iwaponline.com/jwh/article/24/6/744/112069/Relationship-between-land-use-seasonality,Journal of Water and Health,"Relationship between land use, seasonality, hydrological conditions, and the adsorption of sulfamethoxazole, ciprofloxacin, and 17β-estradiol onto polyethylene terephthalate microplastics in a small urban river system, Eastern Cape, South Africa",2026,TRUE,1,docx,https://doi.org/10.2166/wh.2026.194,6,Edgar Tumwesigye,"Centre for Environmental Water Quality, Institute for Water Research, Rhodes University, P.O. Box 94, Makhanda, South Africa",South Africa,https://orcid.org/0000-0001-5548-3255,Oghenekaro Nelson Odume,"Centre for Environmental Water Quality, Institute for Water Research, Rhodes University, P.O. Box 94, Makhanda, South Africa",South Africa,https://orcid.org/0000-0001-5220-3254,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,hydrological conditions; microplastics; sulfamethoxazole; urban river systems; land use,10.2166/wh.2026.194,iwaponline.com
112085,24,6,https://iwaponline.com/jwh/article/24/6/759/112085/Causal-inference-for-targeted-public-health,Journal of Water and Health,"Causal inference for targeted public health interventions: interactions among environmental, social, and economic determinants within the one health framework",2026,FALSE,0,NA,NA,8,Sewwandi Bandara,"Department of Civil and Environmental Engineering, Graduate School of Engineering, Tohoku University, Sendai, Miyagi 980-8579, Japan",Japan,https://orcid.org/0000-0001-5669-8602,Daisuke Sano,"Department of Civil and Environmental Engineering, Graduate School of Engineering, Tohoku University, Sendai, Miyagi 980-8579, Japan",Japan,https://orcid.org/0000-0001-8075-6972,TRUE,All relevant data are included in the paper or its Supplementary Information.,in paper,NA,causal inference; environmental factors; infectious diseases; social factors; water,10.2166/wh.2026.198,iwaponline.com
