paperid,volume,issue,paper_url,journal,title,published_year,is_supp,num_supp,supp_file_type,supp_url,num_authors,first_author_name,first_author_affiliation,first_author_affiliation_country,first_author_orcid,correspondence_author_name,correspondence_author_affiliation,correspondence_author_affiliation_country,correspondence_author_orcid,has_das,das,das_type,das_repo_url,das_repo_name,keywords,url_source,doi,article_type,publication_date
10.1371/journal.pwat.0000058,1,12,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000058,PLOS Water,Water remains a blind spot in climate change policies,2022,FALSE,0,NA,NA,9,Hervé Douville,"Centre National de Recherches Météorologiques, Université de Toulouse, Météo-France, CNRS, Toulouse, France",France,NA,Hervé Douville,"Centre National de Recherches Météorologiques, Université de Toulouse, Météo-France, CNRS, Toulouse, France",France,NA,FALSE,NA,NA,NA,NA,/Earth sciences/Atmospheric science/Climatology/Climate change; /Earth sciences/Atmospheric science/Climatology/Climate change/Anthropogenic climate change; /Earth sciences/Atmospheric science/Climatology/Climate change/Global warming; /Earth sciences/Atmospheric science/Climatology/Climate modeling; /Earth sciences/Atmospheric science/Meteorology/Rain; /Earth sciences/Hydrology/Water cycle; /Ecology and environmental sciences/Drought; /Ecology and environmental sciences/Natural resources/Water resources; /Research and analysis methods/Simulation and modeling/Climate modeling,journals.plos.org,10.1371/journal.pwat.0000058,Review,2022-12-15
10.1371/journal.pwat.0000070,2,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000070,PLOS Water,Understanding household self-supply use and management using a mixed-methods approach in urban Indonesia,2023,TRUE,2,docx; docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000070.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000070.s002&type=supplementary,7,Franziska Genter,"Institute for Sustainable Futures, University of Technology Sydney, Ultimo, NSW, Australia",Australia,https://orcid.org/0000-0001-5867-4671,Franziska Genter,"Institute for Sustainable Futures, University of Technology Sydney, Ultimo, NSW, Australia",Australia,https://orcid.org/0000-0001-5867-4671,TRUE,Datasets for this research are available in this paper and its supplementary information files.,in paper,NA,NA,/Biology and life sciences/Neuroscience/Cognitive science/Cognition/Decision making; /Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Decision making; /Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Perception/Sensory perception/Taste; /Biology and life sciences/Neuroscience/Sensory perception/Taste; /Biology and life sciences/Psychology/Cognitive psychology/Decision making; /Biology and life sciences/Psychology/Cognitive psychology/Perception/Sensory perception/Taste; /Ecology and environmental sciences/Natural resources/Water resources; /Ecology and environmental sciences/Pollution/Water pollution; /Ecology and environmental sciences/Water quality; /Engineering and technology/Environmental engineering/Water management; /Physical sciences/Chemistry/Chemical elements/Chlorine; /Physical sciences/Physics/Condensed matter physics/Phase transitions/Vaporization/Boiling; /Social sciences/Psychology/Cognitive psychology/Decision making; /Social sciences/Psychology/Cognitive psychology/Perception/Sensory perception/Taste,journals.plos.org,10.1371/journal.pwat.0000070,Research Article,2023-01-24
10.1371/journal.pwat.0000085,2,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000085,PLOS Water,Issues that should be addressed at the UN 2023 Water Conference,2023,FALSE,0,NA,NA,1,Jon Lane,"World Water Week, Stockholm International Water Institute, WINZ–The Water Initiative for Net Zero, Stockholm, Sweden",Sweden,NA,Jon Lane,"World Water Week, Stockholm International Water Institute, WINZ–The Water Initiative for Net Zero, Stockholm, Sweden",Sweden,NA,FALSE,NA,NA,NA,NA,/Earth sciences/Atmospheric science/Atmospheric chemistry/Greenhouse gases; /Earth sciences/Atmospheric science/Climatology/Climate change/Anthropogenic climate change; /Earth sciences/Geomorphology/Topography/Landforms/Wetlands; /Earth sciences/Hydrology/Surface water; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Wetlands; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Wetlands; /Ecology and environmental sciences/Environmental chemistry/Atmospheric chemistry/Greenhouse gases; /Ecology and environmental sciences/Natural resources/Water resources; /Medicine and health sciences/Health care/Environmental health/Sanitation; /Medicine and health sciences/Public and occupational health/Environmental health/Sanitation; /Physical sciences/Chemistry/Chemical compounds/Methane; /Physical sciences/Chemistry/Environmental chemistry/Atmospheric chemistry/Greenhouse gases; /Social sciences/Political science/Governments,journals.plos.org,10.1371/journal.pwat.0000085,Opinion,2023-01-24
10.1371/journal.pwat.0000068,2,1,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000068,PLOS Water,Spatial variations in tap water isotopes across Canada: Tracing water from precipitation to distribution and assess regional water resources,2023,TRUE,1,docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000068.s001&type=supplementary,6,Shelina A. Bhuiyan,"Department of Earth and Environmental Science, University of Ottawa, Ottawa, ON, Canada",Canada,https://orcid.org/0000-0001-7294-6776,Shelina A. Bhuiyan,"Department of Earth and Environmental Science, University of Ottawa, Ottawa, ON, Canada",Canada,https://orcid.org/0000-0001-7294-6776,TRUE,"All data to verify the conclusions of this work have been made available. Data A and B in S1 Text are available at https://doi.org/10.6084/m9.figshare.19243518. The data used for water balance modelling is open-access and available online at Waterisotopes.org (https://wateriso.utah.edu/waterisotopes/index.html), HydroSHEDS (https://www.hydrosheds.org/) and Physical Sciences Laboratory (https://psl.noaa.gov/data/gridded/data.narr.monolevel.html#plot) websites. Canadian streams isotope data that were used for models validations can be requested from Dr. John Gibson ([email removed]@uvic.ca) at University of Victoria.",available in online repository,https://doi.org/10.6084/m9.figshare.19243518; https://wateriso.utah.edu/waterisotopes/index.html; https://www.hydrosheds.org/; https://psl.noaa.gov/data/gridded/data.narr.monolevel.html#plot; 10.6084/m9.figshare.19243518,figshare,/Earth sciences/Hydrology/Surface water; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Lakes; /Earth sciences/Marine and aquatic sciences/Aquatic environments/Freshwater environments/Rivers; /Earth sciences/Marine and aquatic sciences/Bodies of water/Lakes; /Earth sciences/Marine and aquatic sciences/Bodies of water/Rivers; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Lakes; /Ecology and environmental sciences/Aquatic environments/Freshwater environments/Rivers; /Ecology and environmental sciences/Natural resources/Water resources; /Engineering and technology/Environmental engineering/Water management; /People and places/Geographical locations/North America/Canada; /Physical sciences/Physics/Condensed matter physics/Phase transitions/Vaporization/Evaporation; /Physical sciences/Physics/Particle physics/Composite particles/Atoms/Isotopes,journals.plos.org,10.1371/journal.pwat.0000068,Research Article,2023-01-24
10.1371/journal.pwat.0000065,1,12,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000065,PLOS Water,"Improve water quality through meaningful, not just any, citizen science",2022,FALSE,0,NA,NA,3,Anne-Floor M. Schölvinck,"Rathenau Instituut, Royal Netherlands Academy of Arts and Sciences, The Hague, The Netherlands",Netherlands,NA,Anne-Floor M. Schölvinck,"Rathenau Instituut, Royal Netherlands Academy of Arts and Sciences, The Hague, The Netherlands",Netherlands,NA,FALSE,NA,NA,NA,NA,/Ecology and environmental sciences/Pollution/Water pollution; /Ecology and environmental sciences/Water quality; /People and places/Population groupings/Professions/Scientists; /Research and analysis methods/Research design; /Science policy; /Science policy/Research funding; /Science policy/Science and technology workforce/Careers in research/Scientists; /Science policy/Science and technology workforce/Citizen science; /Social sciences/Political science/Public policy,journals.plos.org,10.1371/journal.pwat.0000065,Opinion,2022-12-07
10.1371/journal.pwat.0000105,2,3,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000105,PLOS Water,Environmental biotechnologies can make water pollutants part of the path to mitigating climate change,2023,FALSE,0,NA,NA,1,Bruce E. Rittmann,"Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, AZ, United States of America",United States of America,https://orcid.org/0000-0002-3678-149X,Bruce E. Rittmann,"Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, AZ, United States of America",United States of America,https://orcid.org/0000-0002-3678-149X,FALSE,NA,NA,NA,NA,/Biology and life sciences/Biochemistry/Metabolism/Metabolic processes/Fermentation; /Biology and life sciences/Bioengineering/Biotechnology/Environmental biotechnology; /Biology and life sciences/Microbiology/Bacteriology/Bacterial biofilms; /Biology and life sciences/Microbiology/Biofilms; /Biology and life sciences/Microbiology/Biofilms/Bacterial biofilms; /Biology and life sciences/Nutrition/Diet/Food; /Engineering and technology/Bioengineering/Biotechnology/Environmental biotechnology; /Engineering and technology/Energy and power/Alternative energy; /Engineering and technology/Nanotechnology/Nanoparticles; /Medicine and health sciences/Nutrition/Diet/Food; /Physical sciences/Chemistry/Chemical elements/Hydrogen,journals.plos.org,10.1371/journal.pwat.0000105,Review,2023-03-15
10.1371/journal.pwat.0000050,2,4,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000050,PLOS Water,Unequal access to improved water and sanitation in a post-conflict context of Liberia: Evidence from the Demographic and Health Survey,2023,TRUE,1,docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000050.s001&type=supplementary,5,Daniel Amoak,"Department of Geography, Western University, Social Science Centre, London, Ontario, Canada",Canada,https://orcid.org/0000-0002-3879-7233,Roger Antabe,"Department of Health and Society, University of Toronto Scarborough, Toronto, Canada",Canada,https://orcid.org/0000-0003-0312-3201,TRUE,This data is publicly available through the Demographic and Health Survey Program. The link to the data is is: https://dhsprogram.com/Countries/Country-Main.cfm?ctry_id=22&c=Liberia&Country=Liberia&cn=&r=1.,available in online repository,https://dhsprogram.com/Countries/Country-Main.cfm?ctry_id=22&c=Liberia&Country=Liberia&cn=&r=1,dhs program,/Earth sciences/Geography/Human geography/Social geography; /Earth sciences/Hydrology/Surface water; /Ecology and environmental sciences/Natural resources/Water resources; /Engineering and technology/Civil engineering/Urban infrastructure; /Engineering and technology/Environmental engineering/Water management; /Medicine and health sciences/Health care/Environmental health/Sanitation; /Medicine and health sciences/Public and occupational health/Environmental health/Sanitation; /People and places/Geographical locations/Africa/Liberia; /Social sciences/Human geography/Social geography; /Social sciences/Sociology/Education/Educational attainment,journals.plos.org,10.1371/journal.pwat.0000050,Research Article,2023-04-03
10.1371/journal.pwat.0000095,2,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000095,PLOS Water,Driving behavior change among farmers & fishers: Do social networks matter?,2023,FALSE,0,NA,NA,2,Ranu Sinha,"School of Geography and the Environment, University of Oxford, Oxford, United Kingdom",United Kingdom of Great Britain and Northern Ireland,https://orcid.org/0000-0001-8343-2498,Ranu Sinha,"School of Geography and the Environment, University of Oxford, Oxford, United Kingdom",United Kingdom of Great Britain and Northern Ireland,https://orcid.org/0000-0001-8343-2498,FALSE,NA,NA,NA,NA,/Biology and life sciences/Agriculture/Aquaculture/Fisheries; /Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Learning/Human learning; /Biology and life sciences/Neuroscience/Learning and memory/Learning/Human learning; /Biology and life sciences/Psychology/Behavior/Animal behavior; /Biology and life sciences/Psychology/Cognitive psychology/Learning/Human learning; /Biology and life sciences/Zoology/Animal behavior; /Computer and information sciences/Network analysis/Social networks; /Ecology and environmental sciences/Environmental economics; /Engineering and technology/Environmental engineering/Water management; /People and places/Population groupings/Professions/Agricultural workers; /Social sciences/Economics/Environmental economics; /Social sciences/Economics/Finance; /Social sciences/Psychology/Behavior/Animal behavior; /Social sciences/Psychology/Cognitive psychology/Learning/Human learning; /Social sciences/Sociology/Social networks,journals.plos.org,10.1371/journal.pwat.0000095,Opinion,2023-02-28
10.1371/journal.pwat.0000084,2,3,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000084,PLOS Water,Professional perceptions of participatory practices in green stormwater infrastructure development,2023,TRUE,5,docx; docx; docx; docx; docx,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000084.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000084.s002&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000084.s003&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000084.s004&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000084.s005&type=supplementary,3,Mahsa Adib,"Department of Landscape Architecture, The Pennsylvania State University, University Park, Pennsylvania, United States of America",United States of America,https://orcid.org/0000-0002-9678-7826,Hong Wu,"Department of Landscape Architecture, The Pennsylvania State University, University Park, Pennsylvania, United States of America",United States of America,https://orcid.org/0000-0002-9728-8455,TRUE,All research data has been submitted to the OPEN ICPSR repository at: https://www.openicpsr.org/openicpsr/project/178781/version/V1/view.,available in online repository,https://www.openicpsr.org/openicpsr/project/178781/version/V1/view,openicpsr/icpsr,/Biology and life sciences/Neuroscience/Cognitive science/Cognition/Decision making; /Biology and life sciences/Neuroscience/Cognitive science/Cognitive psychology/Decision making; /Biology and life sciences/Psychology/Cognitive psychology/Decision making; /Engineering and technology/Civil engineering/Urban infrastructure; /Engineering and technology/Environmental engineering/Water management; /Medicine and health sciences/Diagnostic medicine/Virus testing; /Medicine and health sciences/Epidemiology/Pandemics; /Medicine and health sciences/Medical conditions/Infectious diseases/Viral diseases/COVID 19; /Research and analysis methods/Research design/Survey research; /Research and analysis methods/Research design/Survey research/Surveys; /Social sciences/Psychology/Cognitive psychology/Decision making,journals.plos.org,10.1371/journal.pwat.0000084,Research Article,2023-03-01
10.1371/journal.pwat.0000091,2,2,https://journals.plos.org/water/article?id=10.1371/journal.pwat.0000091,PLOS Water,"Impact of usership on bacterial contamination of public latrine surfaces in Kathmandu, Nepal",2023,TRUE,7,docx; docx; docx; docx; xlsx; csv; csv,https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s001&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s002&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s003&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s004&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s005&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s006&type=supplementary; https://journals.plos.org/water/article/file?id=10.1371/journal.pwat.0000091.s007&type=supplementary,5,Alexis L. Mraz,"Water, Health and Applied Microbiology Lab (WHAM Lab), Department of Epidemiology and Biostatistics, College of Public Health, Temple University, Philadelphia, Pennsylvania, United States of America",United States of America,https://orcid.org/0000-0001-6426-2147,Heather M. Murphy,"Water, Health and Applied Microbiology Lab (WHAM Lab), Department of Epidemiology and Biostatistics, College of Public Health, Temple University, Philadelphia, Pennsylvania, United States of America",United States of America,https://orcid.org/0000-0002-0435-8515,TRUE,"All data utilized in the tables, figures and statistical analyses presented are provided in the Supplementary Information files associated with this manuscript.",in paper,NA,NA,/Biology and life sciences/Microbiology/Medical microbiology/Microbial pathogens/Bacterial pathogens/Escherichia coli; /Biology and life sciences/Organisms/Bacteria/Enterobacteriaceae/Escherichia/Escherichia coli; /Biology and life sciences/Organisms/Bacteria/Gut bacteria/Escherichia/Escherichia coli; /Biology and life sciences/Physiology/Physiological processes/Defecation; /Earth sciences/Geography/Human geography/Urban geography/Urbanization; /Medicine and health sciences/Health care/Environmental health/Sanitation; /Medicine and health sciences/Pathology and laboratory medicine/Pathogens/Microbial pathogens/Bacterial pathogens/Escherichia coli; /Medicine and health sciences/Public and occupational health/Environmental health/Sanitation; /People and places/Geographical locations/Asia/Nepal; /Physical sciences/Chemistry/Chemical compounds/Salts/Soaps; /Physical sciences/Mathematics/Statistics/Statistical methods/Regression analysis/Linear regression analysis; /Research and analysis methods/Animal studies/Experimental organism systems/Model organisms/Escherichia coli; /Research and analysis methods/Animal studies/Experimental organism systems/Prokaryotic models/Escherichia coli; /Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Regression analysis/Linear regression analysis; /Research and analysis methods/Model organisms/Escherichia coli; /Social sciences/Human geography/Urban geography/Urbanization; /Social sciences/Political science/United Nations,journals.plos.org,10.1371/journal.pwat.0000091,Research Article,2023-02-13
